date,industry_tone,northern_star_resources_ltd_diff,ramsay_health_care_ltd_diff,national_australia_bank_ltd_diff,fortescue_metals_group_ltd_diff,qantas_airways_ltd_diff,crown_resorts_ltd_diff,suncorp_group_ltd_diff,woodside_petroleum_ltd_diff,newcrest_mining_ltd_diff,scentre_diff,santos_ltd_diff,cochlear_ltd_diff
2022-01-18,-0.0018524178684227587,,,,,0.0,,,,,,,
2022-01-19,-0.0018524178684227587,,,,,0.0,,,,,,,
2022-01-20,-0.0018524178684227587,,,,,0.0,,,,,,,
2022-01-21,-0.0018524178684227587,,,,,0.0,,,,,,,
2022-01-22,-0.0018524178684227587,,,,,0.0,,,,,,,
2022-01-23,-0.0018524178684227587,,,,,0.0,,,,,,,
2022-01-24,0.0034583271577491217,0.0,,,,,,,,,,,
2022-01-25,0.0034583271577491217,0.0,,,,,,,,,,,
2022-01-26,0.0034583271577491217,0.0,,,,,,,,,,,
2022-01-27,0.0034583271577491217,0.0,,,,,,,,,,,
2022-01-28,0.0034583271577491217,0.0,,,,,,,,,,,
2022-01-29,0.0034583271577491217,0.0,,,,,,,,,,,
2022-01-30,-0.0007172054020711199,,,-6.67701378920326e-05,,,,4.423977715524018e-05,,,4.423977715524018e-05,,
2022-01-31,-0.0007172054020711199,,,-6.67701378920326e-05,,,,4.423977715524018e-05,,,4.423977715524018e-05,,
2022-02-01,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-02,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-03,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-04,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-05,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-06,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-07,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-08,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-09,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-10,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-11,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-12,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-13,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-14,0.0011051899721090264,,,,,,,,,0.0,,,
2022-02-15,0.0,,,,,,,,0.0,,,0.0,
2022-02-16,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-17,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-18,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-19,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-20,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-21,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-22,0.0030599130984680033,,,,,0.0,,,,,,,
2022-02-23,0.0030599130984680033,,,,,0.0,,,,,,,
