,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,ritchie bros auctioneers,nutrien ltd,0.9815521240234375,magna,0.9776712656021118,canadian natural resources ltd,0.973630428314209,metro,0.972741961479187,agnico eagle mines ltd,0.9667558073997498,gildan activewear,0.9663276672363281,pembina pipeline,0.9631199836730957,blackberry ltd,0.9611239433288574,lightspeed commerce,0.9487075209617615,telus,0.9469529390335083,imperial oil ltd,0.9397059082984924,sun life financial,0.9377809762954712,loblaw companies ltd,0.9349292516708374,kinross gold,0.9347949028015137,quebecor,0.932555079460144,altagas ltd,0.9316058158874512,barrick gold,0.9210667610168457,canopy growth,0.9181845188140869,canadian pacific railway ltd,0.8833926916122437,tc,0.8799886703491211,manulife financial,0.8680503368377686,suncor,0.8201214075088501,enbridge,0.8008612990379333,cenovus,0.7989673614501953,thomson reuters,0.5630527138710022
1,metro,canadian natural resources ltd,0.9977914094924927,magna,0.9974528551101685,gildan activewear,0.996113121509552,pembina pipeline,0.9953569173812866,agnico eagle mines ltd,0.9950000047683716,blackberry ltd,0.992573082447052,lightspeed commerce,0.9909241199493408,telus,0.9900038242340088,imperial oil ltd,0.9884345531463623,sun life financial,0.9884089231491089,nutrien ltd,0.9878700375556946,kinross gold,0.9855633974075317,loblaw companies ltd,0.9853701591491699,altagas ltd,0.9849158525466919,quebecor,0.9838082790374756,canopy growth,0.9789854884147644,barrick gold,0.9761556386947632,ritchie bros auctioneers,0.972741961479187,canadian pacific railway ltd,0.9572840929031372,tc,0.9533520340919495,manulife financial,0.9471253156661987,suncor,0.9129588603973389,enbridge,0.8985162973403931,cenovus,0.896970272064209,emera,0.4512052536010742
2,pembina pipeline,gildan activewear,0.998235285282135,lightspeed commerce,0.997201681137085,blackberry ltd,0.9972005486488342,telus,0.9971641898155212,canadian natural resources ltd,0.9959594011306763,metro,0.9953569173812866,imperial oil ltd,0.9953000545501709,magna,0.9950645565986633,sun life financial,0.9948212504386902,altagas ltd,0.993858814239502,loblaw companies ltd,0.9936068654060364,kinross gold,0.9932767152786255,agnico eagle mines ltd,0.9925538897514343,quebecor,0.9925188422203064,nutrien ltd,0.9889060258865356,barrick gold,0.9888712167739868,canopy growth,0.9882642030715942,canadian pacific railway ltd,0.9734678864479065,tc,0.9707047939300537,manulife financial,0.9650191068649292,ritchie bros auctioneers,0.9631201028823853,suncor,0.9370564818382263,enbridge,0.924309253692627,cenovus,0.9233575463294983,emera,0.3923753499984741
3,emera,ritchie bros auctioneers,0.5519466400146484,thomson reuters,0.48670732975006104,metro,0.4512052536010742,agnico eagle mines ltd,0.4422127604484558,magna,0.43259796500205994,canadian natural resources ltd,0.43104177713394165,nutrien ltd,0.4072059392929077,pembina pipeline,0.39237532019615173,gildan activewear,0.390322744846344,blackberry ltd,0.3691655397415161,lightspeed commerce,0.34628617763519287,telus,0.3403627872467041,imperial oil ltd,0.3381308913230896,sun life financial,0.33227282762527466,kinross gold,0.3119245171546936,loblaw companies ltd,0.30906355381011963,altagas ltd,0.30899566411972046,quebecor,0.3009466826915741,canopy growth,0.2926734983921051,barrick gold,0.26037248969078064,canadian pacific railway ltd,0.21281887590885162,tc,0.19719788432121277,manulife financial,0.18918898701667786,suncor,0.10052724182605743,enbridge,0.0649295374751091
4,thomson reuters,ritchie bros auctioneers,0.5630526542663574,emera,0.48670732975006104,magna,0.4568040072917938,nutrien ltd,0.4554576873779297,canadian natural resources ltd,0.4417136311531067,agnico eagle mines ltd,0.41996926069259644,metro,0.4193229675292969,gildan activewear,0.41332000494003296,pembina pipeline,0.38620638847351074,blackberry ltd,0.371856689453125,lightspeed commerce,0.3459584712982178,telus,0.3428872525691986,loblaw companies ltd,0.3304567337036133,quebecor,0.3280273675918579,kinross gold,0.32010185718536377,sun life financial,0.3180929124355316,imperial oil ltd,0.3178706765174866,altagas ltd,0.3131088614463806,barrick gold,0.30330348014831543,canopy growth,0.2829889953136444,canadian pacific railway ltd,0.20126435160636902,tc,0.19530099630355835,manulife financial,0.16836942732334137,suncor,0.09662037342786789,cenovus,0.07451723515987396
5,canadian pacific railway ltd,tc,0.9988991022109985,manulife financial,0.9985401034355164,barrick gold,0.993958055973053,canopy growth,0.992304801940918,altagas ltd,0.9908499717712402,suncor,0.9907493591308594,kinross gold,0.9900035858154297,quebecor,0.989378035068512,loblaw companies ltd,0.9885257482528687,imperial oil ltd,0.9883803725242615,sun life financial,0.9878165125846863,enbridge,0.985914409160614,cenovus,0.985629677772522,telus,0.9848408699035645,lightspeed commerce,0.9844843149185181,blackberry ltd,0.9773409962654114,pembina pipeline,0.9734677672386169,gildan activewear,0.9688166379928589,canadian natural resources ltd,0.9576253294944763,metro,0.9572840929031372,agnico eagle mines ltd,0.954643189907074,magna,0.9537582397460938,nutrien ltd,0.9490041136741638,ritchie bros auctioneers,0.8833926916122437,emera,0.21281887590885162
6,loblaw companies ltd,kinross gold,0.9993240833282471,quebecor,0.9988515377044678,altagas ltd,0.9979375004768372,imperial oil ltd,0.99765944480896,telus,0.9975379705429077,lightspeed commerce,0.9974543452262878,barrick gold,0.9970776438713074,sun life financial,0.996776282787323,canopy growth,0.9941774606704712,blackberry ltd,0.9939718842506409,pembina pipeline,0.9936067461967468,gildan activewear,0.99295973777771,canadian pacific railway ltd,0.9885256290435791,tc,0.9871011972427368,canadian natural resources ltd,0.9869819283485413,metro,0.9853701591491699,magna,0.9851580858230591,manulife financial,0.9825211763381958,agnico eagle mines ltd,0.9809802770614624,nutrien ltd,0.9787664413452148,suncor,0.9629742503166199,enbridge,0.9535011053085327,cenovus,0.952987790107727,ritchie bros auctioneers,0.9349291324615479,thomson reuters,0.3304567039012909
7,cenovus,enbridge,0.999361515045166,suncor,0.9985690116882324,manulife financial,0.9899486303329468,tc,0.9876012206077576,canadian pacific railway ltd,0.9856296181678772,barrick gold,0.9666959047317505,canopy growth,0.9622531533241272,altagas ltd,0.9566575884819031,kinross gold,0.9548326134681702,quebecor,0.9546762704849243,loblaw companies ltd,0.9529879093170166,sun life financial,0.9502530097961426,imperial oil ltd,0.9501112103462219,telus,0.9446403384208679,lightspeed commerce,0.9432132244110107,blackberry ltd,0.9313431978225708,pembina pipeline,0.9233574867248535,gildan activewear,0.9169939756393433,canadian natural resources ltd,0.8980851173400879,metro,0.896970272064209,agnico eagle mines ltd,0.8961037993431091,magna,0.8926072716712952,nutrien ltd,0.8915501832962036,ritchie bros auctioneers,0.7989673614501953,thomson reuters,0.07451725006103516
8,canopy growth,sun life financial,0.9971500039100647,altagas ltd,0.997092068195343,imperial oil ltd,0.9951674938201904,quebecor,0.9950148463249207,barrick gold,0.9947729110717773,kinross gold,0.9946109056472778,telus,0.9945118427276611,loblaw companies ltd,0.9941775798797607,lightspeed commerce,0.9941133260726929,canadian pacific railway ltd,0.992304801940918,tc,0.9905562996864319,blackberry ltd,0.9891109466552734,pembina pipeline,0.9882640838623047,manulife financial,0.9877741932868958,gildan activewear,0.9859293103218079,agnico eagle mines ltd,0.9812286496162415,metro,0.9789854884147644,canadian natural resources ltd,0.9789010286331177,magna,0.9760950803756714,suncor,0.9709028005599976,nutrien ltd,0.9660323858261108,enbridge,0.9629254937171936,cenovus,0.962253212928772,ritchie bros auctioneers,0.9181845188140869,emera,0.2926734983921051
9,manulife financial,canadian pacific railway ltd,0.9985401034355164,tc,0.9983713030815125,suncor,0.9944421648979187,enbridge,0.9907340407371521,cenovus,0.9899486899375916,barrick gold,0.9895977973937988,canopy growth,0.9877741932868958,altagas ltd,0.9856994152069092,kinross gold,0.9844415187835693,quebecor,0.9840428829193115,imperial oil ltd,0.9826532602310181,loblaw companies ltd,0.9825212359428406,sun life financial,0.982437252998352,telus,0.978806734085083,lightspeed commerce,0.9777582883834839,blackberry ltd,0.9691998958587646,pembina pipeline,0.9650190472602844,gildan activewear,0.9600120782852173,canadian natural resources ltd,0.9473709464073181,metro,0.9471253156661987,agnico eagle mines ltd,0.9450449347496033,magna,0.9427027106285095,nutrien ltd,0.9378185272216797,ritchie bros auctioneers,0.8680502772331238,emera,0.18918898701667786
