,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,ball,philip morris,0.7770087122917175,biogen,0.7087393403053284,bristol myers squibb,0.7027073502540588,eli lilly,0.7004451751708984,abbvie,0.6364088654518127,gilead sciences,0.635667085647583,pfizer,0.6226945519447327,mckesson,0.6108529567718506,moderna,0.610358715057373,abbott laboratories,0.6025426387786865,baxter,0.5783654451370239,uber technologies,0.5743368864059448,amgen,0.5723653435707092,meta platforms,0.5471325516700745,regeneron,0.5448979139328003,allstate,0.5374769568443298,raytheon technologies,0.5093206167221069,comcast,0.4958319067955017,medtronic,0.48927515745162964,alphabet,0.47068071365356445,devon,0.4509897232055664,kinder morgan,0.45015740394592285,hilton worldwide holdings,0.44156119227409363,tesla,0.43435749411582947,salesforce,0.43225255608558655
1,monster beverage,servicenow,0.8166441321372986,costco wholesale,0.74006187915802,salesforce,0.7317023873329163,kimberly clark,0.7272102236747742,berkshire hathaway,0.7217299342155457,nike,0.6900118589401245,microsoft,0.6479350924491882,apple,0.6417757868766785,palo alto networks,0.6343262195587158,paychex,0.6337596774101257,paypal holdings,0.6134246587753296,kinder morgan,0.5795019865036011,adobe,0.5679458379745483,medtronic,0.5657922029495239,intel corporation,0.5014409422874451,aptiv,0.5003480315208435,mcdonalds,0.4949154257774353,firstenergy,0.48822876811027527,prudential financial,0.47105175256729126,mondelez,0.464348703622818,alphabet,0.46380430459976196,meta platforms,0.4578748345375061,edwards lifesciences,0.45389482378959656,marvell technology,0.4256248474121094,cerner,0.402689129114151
2,digital realty,simon property,0.8674831390380859,arista networks,0.8661162853240967,cummins,0.7408837676048279,analog devices,0.684898853302002,broadcom,0.684700608253479,caterpillar,0.6698221564292908,paccar,0.6674319505691528,eaton,0.6384735107421875,fortinet,0.614446222782135,cisco systems,0.5902625918388367,dollar tree,0.44783419370651245,micron technology,0.3509463667869568,marvell technology,0.3089253008365631,comcast,0.294161319732666,microchip technology,0.2879902422428131,adobe,0.28719085454940796,oracle,0.28076377511024475,verizon communications,0.2755212187767029,fifth third bancorp,0.2731461524963379,progressive,0.27203303575515747,international business machines,0.2566620111465454,motorola solutions,0.25228115916252136,humana,0.2329656481742859,servicenow,0.23190824687480927,centene,0.23130756616592407
3,emerson electric,halliburton,0.971003532409668,schlumberger,0.969471275806427,starbucks,0.6415061354637146,chevron,0.5964323282241821,mondelez,0.5861775875091553,lam research,0.5579934120178223,salesforce,0.5575401782989502,pepsico,0.5064443349838257,valero,0.5002530813217163,marathon petroleum,0.4982515275478363,occidental petroleum,0.488660991191864,prudential financial,0.46750736236572266,conocophillips,0.43673938512802124,chipotle mexican grill,0.43411731719970703,yum brands,0.4284745454788208,exxon mobil,0.4200795888900757,hess,0.4104723334312439,motorola solutions,0.401578426361084,tyson foods,0.3875983953475952,servicenow,0.36743947863578796,american,0.3019159436225891,monster beverage,0.29947441816329956,medtronic,0.29924818873405457,edwards lifesciences,0.2982785403728485,verizon communications,0.29426127672195435
4,yum brands,pepsico,0.9549588561058044,mondelez,0.9170036911964417,starbucks,0.8683358430862427,chipotle mexican grill,0.8420981764793396,tyson foods,0.7732031941413879,mcdonalds,0.7391114234924316,paypal holdings,0.5983035564422607,netflix,0.5652596354484558,eli lilly,0.5643022656440735,twitter,0.5392001867294312,regeneron,0.486306369304657,emerson electric,0.4284745454788208,medtronic,0.4152616262435913,prudential financial,0.4102013409137726,blackstone,0.4037132263183594,halliburton,0.40193110704421997,gilead sciences,0.3995714783668518,ball,0.37056469917297363,baxter,0.36968687176704407,cigna,0.3676421642303467,kinder morgan,0.3652796149253845,schlumberger,0.36133772134780884,bristol myers squibb,0.35497257113456726,salesforce,0.3278161287307739,biogen,0.3223639726638794
5,medtronic,kinder morgan,0.8864772319793701,prudential financial,0.8412019610404968,salesforce,0.7444689273834229,blackstone,0.7136369347572327,servicenow,0.7032434940338135,twitter,0.6985251903533936,netflix,0.6814141273498535,mondelez,0.6097532510757446,lam research,0.5804376006126404,monster beverage,0.5657922029495239,abbott laboratories,0.5629132986068726,chipotle mexican grill,0.5477863550186157,raytheon technologies,0.5473780632019043,metlife,0.5425419807434082,moderna,0.5311689376831055,american express,0.5311541557312012,uber technologies,0.5226815938949585,expedia,0.5085894465446472,palo alto networks,0.5076607465744019,pfizer,0.5063686966896057,ball,0.48927515745162964,visa,0.4868548512458801,mastercard,0.4691756069660187,dow,0.4677046835422516,devon,0.46349403262138367
6,consolidated edison,us bancorp,0.9012760519981384,lululemon athletica,0.8634792566299438,resmed,0.8555525541305542,transdigm,0.853493869304657,anthem,0.843097448348999,wells fargo,0.8429296612739563,dupont de nemours,0.8339264392852783,nucor,0.833565354347229,firstenergy,0.8322986364364624,citigroup,0.8289446234703064,fifth third bancorp,0.8252912163734436,morgan stanley,0.8117327690124512,edwards lifesciences,0.8015493750572205,intuitive surgical,0.7615121603012085,blackrock,0.7551307678222656,goldman sachs,0.7262725830078125,hess,0.7173829078674316,cloudflare,0.6453428268432617,thermo fisher scientific,0.6107953190803528,agilent technologies,0.5986477732658386,home depot,0.5981862545013428,intel corporation,0.5777565240859985,american,0.5736264586448669,unitedhealth,0.5604089498519897,aptiv,0.48942166566848755
7,dollar general,accenture,0.9485753774642944,fedex,0.9126753807067871,aflac,0.9035646319389343,united parcel service,0.8678590059280396,intercontinental exchange,0.8221710920333862,dollar tree,0.7398697733879089,fiserv,0.6697143912315369,southwest airlines,0.5798851847648621,archer daniels midland,0.5474892258644104,occidental petroleum,0.5356360673904419,delta air lines,0.5074654817581177,simon property,0.4960658848285675,home depot,0.4168899655342102,oracle,0.41247254610061646,american,0.3994801938533783,cerner,0.3640750050544739,hess,0.3181113004684448,mastercard,0.3139905035495758,motorola solutions,0.31303274631500244,visa,0.2837015390396118,hp,0.2686998248100281,resmed,0.2583761215209961,norfolk southern,0.25377386808395386,amgen,0.2521185576915741,metlife,0.2501932978630066
8,hess,occidental petroleum,0.8509259819984436,american,0.8104403614997864,resmed,0.7745413780212402,nucor,0.7480050325393677,edwards lifesciences,0.742141604423523,consolidated edison,0.7173829078674316,anthem,0.7040698528289795,firstenergy,0.6990180611610413,lululemon athletica,0.6923756003379822,dupont de nemours,0.6800167560577393,us bancorp,0.663095235824585,fifth third bancorp,0.6563050150871277,wells fargo,0.649199903011322,citigroup,0.6387913823127747,home depot,0.6368340253829956,intuitive surgical,0.6295714378356934,unitedhealth,0.5895054936408997,prudential financial,0.5821130275726318,intercontinental exchange,0.5798057317733765,morgan stanley,0.5766985416412354,transdigm,0.5677496194839478,goldman sachs,0.566470742225647,cloudflare,0.5645806789398193,exxon mobil,0.5444896221160889,blackrock,0.5299549698829651
9,marvell technology,advanced micro devices,0.9512683749198914,microchip technology,0.9339041113853455,analog devices,0.8109786510467529,broadcom,0.8016023635864258,fortinet,0.6412950158119202,servicenow,0.5615135431289673,qualcomm,0.5485620498657227,arista networks,0.5142725110054016,adobe,0.48617610335350037,honeywell,0.4770739674568176,caterpillar,0.4629499912261963,cisco systems,0.4608991742134094,nvidia,0.4524190425872803,monster beverage,0.4256248474121094,salesforce,0.410921186208725,marathon petroleum,0.40873730182647705,palo alto networks,0.3857928216457367,oreilly automotive,0.3854750990867615,paypal holdings,0.3716203272342682,verizon communications,0.337835431098938,progressive,0.33279091119766235,valero,0.3245595097541809,cerner,0.32236337661743164,international business machines,0.31118935346603394,eaton,0.3094547688961029
10,lam research,prudential financial,0.7886317372322083,blackstone,0.7830376625061035,charter communications,0.7277815341949463,netflix,0.666146993637085,salesforce,0.6524382829666138,valero,0.6415073871612549,marathon petroleum,0.6400483846664429,american express,0.6306698322296143,chevron,0.6270177364349365,walt disney,0.6201214790344238,conocophillips,0.5892298817634583,medtronic,0.5804376006126404,schlumberger,0.5691022872924805,mastercard,0.5646935701370239,emerson electric,0.5579934120178223,mondelez,0.5542219877243042,dow,0.5462052226066589,visa,0.5193383097648621,metlife,0.5186823606491089,nextera,0.5178244113922119,chipotle mexican grill,0.5155407190322876,hess,0.5137748718261719,occidental petroleum,0.503675639629364,kinder morgan,0.4943566918373108,equifax,0.4683007597923279
