Date,apple,microsoft,amazon com,tesla,alphabet,alphabet,berkshire hathaway,unitedhealth,johnson & johnson,nvidia,meta platforms,procter & gamble,jpmorgan chase &,exxon mobil,visa,home depot,chevron,mastercard,abbvie,pfizer,bank of,coca cola,costco wholesale,pepsico,broadcom,eli lilly,walmart,thermo fisher scientific,verizon communications,cisco systems,walt disney,merck &,abbott laboratories,comcast,accenture,adobe,intel corporation,mcdonalds,wells fargo,danaher,bristol myers squibb,salesforce,texas instrument,nike,philip morris,union pacific,raytheon technologies,qualcomm,nextera,medtronic,advanced micro devices,amgen,at&t,united parcel service,cvs health,lowes companies,s&p global,honeywell,conocophillips,prologis,international business machines,oracle,anthem,american tower,intuit,caterpillar,target,deere,morgan stanley,american express,lockheed martin,charles schwab,goldman sachs,citigroup,altria,paypal holdings,applied material,general electric,blackrock,boeing,servicenow,automatic data processing,netflix,booking holdings,mondelez,starbucks,intuitive surgical,chubb ltd,duke,marsh & mclennan,stryker,zoetis,3m,crown castle,cigna,analog devices,southern,cme,gilead sciences,blackstone,micron technology,csx,t mobile us,tjx,pnc financial services,edwards lifesciences,becton dickinson,regeneron,aon,vertex,us bancorp,dominion,truist financial,colgate palmolive,eog resources,equinix,waste management,northrop grumman,intercontinental exchange,lam research,illinois tool,progressive,boston scientific,norfolk southern,charter communications,freeport mcmoran,fidelity national information serv,public storage,activision blizzard,estee lauder,newmont,general dynamics,ford motor,sherwin williams,dollar general,schlumberger,fiserv,eaton,humana,emerson electric,capital one financial,palo alto networks,general motors,sempra,air products and chemicals,marathon petroleum,moodys,hca healthcare,archer daniels midland,pioneer natural resource,dow,fedex,american electric power,american,uber technologies,marvell technology,block,marriott,kla,centene,metlife,l3harris technologies,occidental petroleum,mckesson,moderna,roper technologies,exelon,oreilly automotive,illumina,kimberly clark,warner bros. discovery inc series,sysco,nxp semiconductors,autozone,johnson controls,prudential financial,nucor,general mills,ecolab,cognizant technology solutions,iqvia holdings,synopsys,dexcom,williams,digital realty,valero,paychex,corteva,travelers companies,hilton worldwide holdings,realty income,chipotle mexican grill,kroger,welltower,autodesk,lululemon athletica,crowdstrike holdings,aflac,simon property,cadence design systems,fortinet,amphenol,idexx laboratories,xcel,hp,workday,sba communications reit corp class,devon,constellation brands,phillips 66,global payments,twitter,dollar tree,public service enterprise,motorola solutions,allstate,kinder morgan,baxter,agilent technologies,arthur j gallagher,msci,ross stores,microchip technology,electronic arts,parker hannifin,carrier global,cintas,yum brands,snowflake,avalonbay communities,trane technologies,dupont de nemours,consolidated edison,atlassian,ebay,equity residential,halliburton,verisk analytics,hershey foods,wec,transdigm,alexandria real estate equities,bank of new york mellon,resmed,walgreen boots alliance,discover financial services,fastenal,monster beverage,international flavors & fragrances,cheniere,weyerhaeuser,eversource,ameriprise finance,ppg industries,otis worldwide,oneok,m&t bank,biogen,t rowe price,svb financial,datadog,kraft heinz,rockwell automation,willis towers watson,hess,american water works,paccar,mettler toledo,ametek,cummins,aptiv,kkr and,align technology,arista networks,first republic bank,cbre,delta air lines,lyondellbasell industries nv class,republic services,extra space storage,southwest airlines,ball,cerner,old dominion freight line,tyson foods,expedia,edison,keysight technologies,zimmer biomet holdings,dte,invitation homes,trade desk,fifth third bancorp,state street,veeva systems,keurig dr pepper,corning,west pharmaceutical services,mccormick & co non voting
2021-12-01,164.77,330.08,3443.72,1095.0,2821.03,2832.36,275.0,444.34,158.08,314.35,310.6,146.4,157.89,59.79,190.16,400.42,112.1,306.28,115.91,54.68,43.84,52.3,529.84,160.16,554.76,249.13,137.14,626.15,49.77,55.03,142.15,74.44,126.74,49.08,360.14,657.41,48.6,244.18,47.21,319.72,54.95,251.5,191.76,166.7,86.87,233.25,79.05,175.63,87.84,105.47,149.11,200.8,16.78,194.15,88.78,245.34,449.06,199.42,69.2,151.7,116.92,89.75,404.65,258.95,663.89,191.47,240.39,341.55,95.26,150.06,328.42,76.53,376.48,62.52,42.99,179.32,151.67,93.0,900.33,188.19,599.57,226.87,617.77,2067.01,58.56,108.66,319.93,175.14,96.62,163.74,239.1,219.66,170.73,180.56,194.72,180.84,61.14,220.01,68.93,137.65,85.15,34.44,106.72,68.01,195.45,107.43,241.67,630.59,291.11,205.0,54.85,70.85,58.35,75.39,85.35,803.45,160.51,345.98,129.02,693.53,230.81,93.13,38.14,269.06,634.2,36.23,102.36,325.63,57.28,325.33,53.87,189.45,19.58,330.95,222.79,28.38,95.55,161.47,417.62,86.79,138.37,528.16,58.06,119.66,284.94,60.91,380.27,225.61,61.82,174.3,52.76,227.78,80.28,51.72,36.02,70.95,194.5,142.5,412.18,70.18,57.11,207.32,28.95,215.41,310.61,459.58,52.29,636.74,357.66,131.76,22.26,68.07,223.0,1806.83,74.97,100.05,104.69,61.43,220.3,76.86,259.25,334.75,548.35,26.64,162.84,67.31,117.8,44.66,145.48,129.96,65.92,1602.08,40.21,79.36,249.68,448.43,201.5,53.67,147.72,175.05,305.26,79.99,599.45,64.21,36.46,260.86,339.3,40.84,223.19,68.67,117.86,42.82,132.6,62.44,245.95,107.13,15.27,75.08,148.21,162.33,616.35,104.87,84.47,120.23,293.1,53.6,417.62,123.22,311.0,230.1,185.44,73.79,77.94,357.21,66.81,82.66,21.15,219.64,175.51,87.68,553.37,198.19,54.14,253.29,43.72,106.13,58.47,81.06,141.5,101.78,37.64,82.4,284.94,153.48,80.45,58.65,144.04,229.5,196.03,675.59,164.53,32.88,332.01,227.0,72.86,167.8,82.45,1520.45,135.8,209.12,160.0,74.0,602.29,121.39,209.9,95.02,33.53,84.55,131.93,199.54,42.55,90.91,70.01,350.42,78.26,155.66,65.62,193.67,119.79,109.15,39.81,95.22,41.74,88.62,272.12,33.56,36.85,435.41,86.55
2021-12-02,163.76,329.49,3437.36,1084.6,2859.32,2875.53,279.09,446.02,157.09,321.26,310.39,147.26,161.21,61.28,198.29,407.77,115.14,320.2,116.87,53.04,44.89,53.07,525.51,160.62,552.45,247.88,135.47,627.58,50.73,56.15,147.2,73.89,128.38,51.5,365.3,671.88,49.5,248.8,48.91,316.06,55.41,261.2,193.58,170.0,87.84,240.08,81.66,177.03,88.62,107.28,150.68,201.17,17.4,199.9,89.99,250.39,460.97,204.0,71.26,154.42,116.9,89.99,399.74,266.24,672.12,196.79,245.5,350.62,98.86,156.77,330.53,80.12,387.54,63.81,43.21,187.15,146.49,95.23,918.85,202.38,623.37,232.43,616.47,2171.93,59.46,111.42,327.32,182.36,97.65,168.47,247.4,223.19,170.26,185.64,197.79,180.63,62.01,226.55,69.67,141.24,82.88,35.57,110.36,70.25,201.85,109.82,241.94,634.0,297.3,204.45,56.6,71.84,60.38,75.48,86.56,798.61,163.74,352.57,131.22,661.52,235.12,96.0,39.6,278.82,670.4,37.1,105.73,334.99,57.29,334.67,53.27,194.48,19.87,339.67,215.81,29.32,99.86,166.63,421.44,90.38,143.36,535.3,61.02,122.39,287.43,63.33,389.15,232.06,62.4,177.01,53.18,235.3,81.31,53.96,38.12,71.03,192.15,151.12,402.53,71.42,59.33,211.15,29.65,220.41,301.49,467.27,52.92,657.35,357.48,132.79,23.25,70.18,222.73,1868.29,76.66,103.42,107.56,62.86,224.65,79.43,262.73,349.67,560.22,27.25,165.7,71.17,120.65,46.19,150.16,139.59,67.52,1611.44,44.65,82.08,257.66,450.68,209.35,55.25,151.86,184.66,313.11,81.46,599.01,64.65,37.64,266.66,348.04,41.59,225.26,71.38,121.81,42.65,134.83,63.17,252.52,109.68,15.73,76.23,150.99,166.52,629.58,110.56,84.24,122.59,304.93,55.52,432.17,126.53,360.28,238.42,190.56,75.28,78.69,368.94,67.48,85.51,22.02,225.87,176.69,88.87,581.99,202.61,56.15,255.88,44.62,110.09,59.66,82.96,140.5,105.02,38.51,83.08,295.78,159.03,82.85,60.69,150.72,228.52,201.72,712.2,169.44,33.25,343.66,231.97,77.14,170.37,83.96,1547.6,138.87,215.89,165.77,75.48,624.93,123.28,215.59,99.92,36.64,85.58,136.02,205.41,45.34,93.58,71.87,357.05,80.79,161.28,65.49,198.48,122.93,110.0,41.34,95.89,43.94,92.39,262.41,34.16,37.53,437.39,87.01
2021-12-03,161.84,323.01,3389.79,1014.97,2840.03,2850.41,277.43,449.32,159.38,306.93,306.84,149.88,158.29,60.89,196.32,407.81,114.41,322.11,118.85,54.27,43.87,53.54,528.93,164.71,558.12,245.58,137.51,636.11,51.42,56.23,146.22,73.34,130.27,51.78,361.42,616.53,49.25,249.33,47.75,312.94,56.32,258.32,193.38,170.24,89.38,240.43,81.11,176.51,88.03,106.87,144.01,202.44,17.71,200.73,90.87,248.69,455.82,203.5,71.11,154.66,118.84,88.24,395.0,266.96,647.96,197.8,247.57,349.24,98.21,155.94,333.81,78.47,382.73,62.76,43.92,183.93,145.83,92.77,899.57,198.49,613.11,229.89,602.13,2114.44,60.26,111.24,321.63,181.46,99.88,167.79,246.87,223.33,172.59,184.86,199.86,180.79,62.83,225.26,69.56,135.25,81.62,35.84,112.77,70.69,197.73,108.48,244.12,635.16,292.89,203.81,55.59,73.04,58.48,76.77,85.99,794.03,163.22,357.84,130.19,661.47,235.92,95.22,39.46,281.24,679.3,36.56,103.3,335.34,57.36,335.3,54.67,197.63,19.14,342.4,222.0,29.24,100.5,166.44,421.7,90.28,141.9,520.86,59.71,123.75,288.62,61.67,384.78,230.03,62.53,176.89,53.07,240.84,82.34,53.32,35.85,83.59,181.31,149.98,400.68,71.05,59.42,212.0,29.16,218.66,306.72,466.07,52.74,659.18,347.28,135.39,23.99,69.98,227.12,1863.0,77.95,102.73,110.5,64.23,220.83,78.52,261.68,344.56,519.49,27.11,165.28,69.71,119.8,46.04,149.16,138.74,67.25,1592.1,43.43,80.4,259.02,435.72,197.05,54.28,149.19,177.87,302.82,81.67,586.54,65.17,37.55,266.99,348.69,41.77,226.19,70.0,120.27,42.07,137.04,63.45,248.0,108.32,15.59,78.05,149.33,165.48,603.45,110.19,85.27,125.27,305.4,56.12,427.27,124.83,345.11,237.96,193.3,75.48,80.53,349.5,67.05,85.04,22.0,221.65,179.61,91.17,583.9,202.66,54.88,254.78,46.53,108.67,60.13,83.7,140.77,103.51,38.33,85.3,290.2,160.39,82.8,60.01,146.96,223.92,195.6,674.57,164.22,33.64,345.47,230.84,75.88,171.63,85.67,1529.53,139.14,217.03,162.35,73.62,619.75,121.2,206.37,98.54,35.98,87.37,135.4,201.48,44.28,93.23,71.67,358.98,82.6,155.58,66.61,199.23,121.22,111.89,41.65,89.51,43.05,90.01,249.49,34.47,37.13,434.13,88.54
2021-12-06,165.32,326.19,3427.37,1009.01,2863.1,2875.93,281.38,460.11,162.94,300.37,317.87,152.15,160.16,61.58,202.68,415.7,116.2,333.33,121.35,51.48,44.15,54.91,533.2,166.42,564.98,246.33,139.0,622.25,51.07,56.96,150.37,73.42,132.47,52.35,362.23,622.04,50.99,255.79,48.81,306.9,56.83,258.75,194.61,168.91,91.39,246.06,83.76,175.45,89.15,110.24,139.06,208.79,17.57,202.06,92.65,251.18,456.53,206.25,72.81,156.55,119.91,88.94,403.62,269.57,645.34,201.28,242.97,354.51,99.27,160.68,339.96,80.37,389.3,62.52,44.43,184.86,147.38,96.01,896.7,205.88,616.54,232.2,612.69,2227.28,61.42,113.36,323.77,187.53,101.21,170.46,254.41,222.97,177.2,187.82,206.59,181.06,64.66,224.45,69.5,134.72,82.45,36.76,115.63,72.64,199.96,111.96,246.14,625.0,297.48,205.06,56.88,74.29,59.5,78.58,87.57,796.47,163.48,363.96,130.86,667.56,239.27,96.79,40.7,287.23,672.95,37.37,107.03,339.5,58.09,341.55,55.83,199.57,19.22,341.13,225.53,30.01,103.13,169.83,432.5,90.94,145.94,501.22,59.84,125.46,292.89,62.86,385.41,233.77,63.11,179.52,53.88,245.05,83.49,54.77,38.49,85.43,179.72,156.7,399.53,71.77,59.67,215.3,29.84,224.0,265.33,472.17,53.53,661.43,351.65,136.42,24.4,72.99,224.28,1879.99,78.19,104.2,110.24,64.44,229.59,80.72,263.1,345.45,524.43,27.32,165.15,70.41,121.93,47.1,151.82,144.31,68.08,1623.46,45.11,83.04,265.56,423.54,194.71,55.72,152.6,177.21,292.04,82.75,592.21,65.18,36.93,269.09,348.16,42.36,230.87,71.07,127.03,44.47,137.81,63.71,250.61,109.78,15.78,79.24,151.47,167.45,608.15,112.68,83.95,126.31,311.66,55.85,435.32,128.87,341.66,240.86,193.54,76.39,81.35,353.44,66.07,86.16,22.58,221.91,180.7,92.26,601.62,206.03,55.43,260.3,48.3,111.9,62.0,85.71,143.03,105.37,38.46,86.14,293.64,164.43,84.01,60.89,151.68,224.11,197.33,693.39,161.41,34.27,344.92,232.5,77.16,173.92,87.61,1535.5,140.01,219.27,164.41,74.4,638.92,121.65,214.01,101.0,38.14,88.92,135.27,205.19,45.56,92.68,72.99,353.13,83.48,166.07,68.18,195.15,125.49,114.19,42.3,89.63,43.58,93.61,262.37,34.8,37.66,423.58,90.11
2021-12-07,171.18,334.92,3523.29,1051.75,2945.39,2960.73,284.97,464.73,163.36,324.27,322.81,151.75,162.57,62.27,207.37,416.18,117.92,339.51,121.51,51.72,44.71,55.21,542.02,166.23,590.4,245.11,138.55,628.71,50.79,58.08,150.81,72.28,132.42,49.58,371.34,649.96,52.57,259.91,50.25,313.35,57.13,266.99,199.03,171.29,90.41,247.47,85.01,183.72,90.41,112.27,144.85,211.32,17.42,205.39,92.93,256.91,470.46,207.15,74.57,159.3,121.58,90.05,411.24,276.81,673.3,204.49,245.63,361.34,102.5,166.95,339.17,81.31,400.11,62.9,44.49,191.02,156.89,97.55,920.92,208.83,663.39,235.13,625.58,2245.03,61.41,116.26,340.49,188.04,101.17,172.58,260.55,225.7,176.55,192.15,207.97,186.64,64.47,231.25,69.65,139.33,85.83,37.09,117.15,74.12,203.3,115.52,250.36,635.09,300.71,205.22,57.69,75.46,60.58,77.81,90.56,812.86,164.25,362.67,134.01,706.15,239.98,96.81,41.4,287.46,650.6,38.77,106.95,340.26,58.77,353.64,56.39,199.32,19.96,341.77,224.5,30.76,103.13,170.59,433.01,92.23,148.58,523.43,61.53,126.91,295.93,64.23,398.4,238.6,64.16,185.74,54.86,247.06,83.91,55.19,38.08,91.51,189.51,156.53,419.15,73.4,60.53,214.68,31.12,224.57,282.35,471.93,53.92,672.79,369.43,136.88,24.22,72.92,238.9,2023.57,79.15,105.75,114.01,64.57,230.76,81.45,270.3,356.2,558.4,27.76,167.42,71.63,123.13,47.75,153.09,143.15,68.39,1711.74,45.07,84.78,276.7,434.95,204.32,56.71,156.25,182.77,317.24,83.85,611.43,66.04,37.29,280.24,360.07,45.12,233.83,72.48,129.77,44.46,137.98,64.62,254.97,110.24,16.23,79.88,153.8,169.68,637.07,113.1,88.89,126.15,314.46,56.64,446.02,131.3,363.25,241.23,198.74,77.54,81.56,382.99,67.23,86.15,23.4,225.44,182.0,92.34,603.36,210.72,56.13,265.91,48.23,114.38,63.21,88.37,145.11,106.56,39.35,87.3,301.58,166.28,85.7,62.68,152.71,226.83,204.22,716.78,177.01,34.51,350.76,231.61,79.97,176.52,87.61,1566.15,140.4,219.77,167.62,77.7,666.72,126.31,213.55,102.31,38.04,90.11,135.6,208.7,45.21,93.45,73.78,364.0,83.97,166.57,67.26,202.43,128.43,115.01,42.66,95.72,44.08,94.9,269.98,34.93,38.23,429.97,87.83
2021-12-08,175.08,334.97,3523.16,1068.96,2963.73,2974.41,283.72,468.86,164.34,318.26,330.56,152.43,160.71,62.45,208.99,411.25,118.45,342.34,121.87,51.4,44.16,55.0,530.11,166.52,588.56,244.32,137.15,638.15,50.49,57.02,153.34,73.21,132.37,48.94,374.53,653.1,51.75,259.58,49.41,318.26,57.6,266.31,196.39,170.25,89.89,247.6,86.5,182.63,90.32,112.42,145.24,213.53,17.49,204.72,93.1,256.74,473.0,204.65,74.11,159.44,123.02,88.94,415.97,275.85,673.06,204.19,239.6,361.06,101.25,168.93,341.08,81.2,397.32,62.46,44.52,197.35,157.29,98.28,923.86,211.03,665.81,234.3,628.08,2307.2,60.88,116.25,340.8,189.16,100.85,172.91,261.28,229.62,176.04,191.55,208.31,186.26,64.75,231.97,69.71,135.34,86.02,36.95,114.75,74.34,202.09,119.46,246.45,654.04,300.94,206.61,57.04,75.13,59.76,77.76,90.08,814.46,163.53,364.09,135.56,714.03,240.57,95.12,41.66,286.5,642.07,38.72,108.33,343.41,59.27,356.15,56.36,200.88,19.81,342.22,221.41,31.06,103.95,169.92,440.0,92.48,148.81,530.63,60.78,126.12,295.67,64.06,398.06,240.51,64.13,185.28,54.91,244.75,84.02,54.97,38.81,91.29,194.78,157.64,421.28,73.88,60.62,216.63,30.77,226.68,283.4,471.86,53.43,674.72,375.98,136.89,24.03,73.5,228.09,1988.86,79.54,105.71,112.81,64.21,232.3,81.22,272.19,364.36,564.85,27.64,168.11,70.72,123.04,48.11,153.68,144.39,68.85,1739.21,42.81,85.7,276.29,426.0,209.18,56.73,157.45,184.21,322.44,83.54,618.55,67.11,36.71,282.3,358.99,44.91,234.68,71.85,130.11,45.72,138.63,63.91,253.69,109.02,16.24,80.61,156.31,169.24,646.09,113.13,87.34,126.37,316.23,56.44,450.98,131.74,370.28,245.46,201.47,78.26,81.53,387.41,67.16,87.59,23.79,229.05,183.22,92.56,612.57,212.32,56.32,268.02,48.5,113.58,62.87,88.93,148.16,105.48,39.48,87.35,300.58,164.82,86.21,62.36,151.95,234.72,203.67,710.21,183.16,33.15,348.45,235.0,80.56,176.76,88.91,1586.15,141.06,220.81,170.38,76.98,675.22,125.48,213.12,102.81,38.88,90.5,135.27,209.36,45.27,93.94,75.2,356.81,83.53,172.39,66.87,202.19,128.96,114.52,43.28,97.9,43.96,92.91,272.82,34.81,38.32,435.51,88.65
2021-12-09,174.56,333.1,3483.42,1003.8,2952.77,2962.12,284.52,473.32,165.9,304.9,329.82,153.32,160.46,62.61,211.39,411.34,118.14,344.52,124.15,52.08,44.49,54.86,524.33,166.31,583.42,242.9,138.5,637.07,50.16,57.55,152.94,72.86,132.53,47.81,371.45,632.57,50.48,262.34,49.69,319.28,57.54,264.32,193.4,168.1,89.5,247.25,86.16,182.26,89.91,112.81,138.1,212.57,17.31,206.54,97.31,258.15,467.66,206.0,72.55,157.56,123.57,88.77,419.66,271.06,665.51,204.13,237.56,361.92,100.58,168.02,343.6,80.66,396.49,62.14,44.59,191.75,152.65,97.83,919.08,207.56,642.15,232.74,611.0,2267.61,60.99,115.35,340.34,190.2,100.28,171.05,260.54,230.16,175.94,189.62,211.3,183.68,64.57,227.64,70.3,133.99,84.93,36.61,113.99,74.02,200.73,120.34,245.11,665.72,295.5,208.41,57.21,76.19,59.62,78.0,88.88,798.8,162.79,367.86,134.6,699.39,241.61,95.25,41.28,286.95,611.97,38.47,104.99,342.3,59.07,355.84,56.21,201.93,19.57,343.87,222.33,30.62,103.53,168.59,452.28,91.99,149.17,527.53,59.62,126.2,293.18,63.34,393.4,241.44,63.28,183.09,54.39,245.25,83.52,54.81,37.54,90.03,186.75,157.15,409.37,74.87,60.88,216.52,30.24,230.74,272.21,467.82,53.14,672.0,371.34,135.61,23.58,73.87,225.16,1965.83,78.98,106.53,112.89,63.97,230.35,80.99,269.16,354.48,560.15,26.62,166.32,70.31,122.32,48.03,153.49,144.31,67.36,1722.6,43.68,84.15,267.67,416.92,201.27,57.37,152.24,179.62,316.42,83.11,607.58,66.8,36.15,279.35,353.0,42.32,233.5,72.3,127.37,46.46,138.44,63.74,259.18,107.67,16.01,80.56,154.61,167.68,619.94,112.53,86.63,125.0,318.32,55.99,449.13,133.12,361.32,242.52,201.65,78.64,81.68,375.44,66.6,86.63,23.49,224.5,183.5,92.8,605.64,210.99,57.08,264.56,49.17,115.29,62.81,88.3,147.48,102.17,39.75,87.53,297.35,164.05,86.19,61.73,152.24,232.43,199.41,706.06,175.41,33.47,346.57,232.35,78.75,175.82,88.61,1582.16,141.09,219.58,166.8,75.76,673.59,128.66,209.77,102.7,38.5,89.95,134.5,205.52,43.61,92.62,75.15,354.75,83.75,169.75,66.51,200.63,125.44,115.23,42.72,94.51,43.75,93.98,267.33,34.59,37.55,429.19,88.72
2021-12-10,179.45,342.54,3444.24,1017.03,2960.03,2973.5,288.23,478.23,165.49,301.98,329.75,155.46,159.82,63.01,213.4,415.4,118.34,349.92,125.47,52.78,44.52,56.28,558.82,168.97,631.68,244.14,141.03,642.51,50.19,59.25,152.71,72.62,134.37,48.45,379.44,654.45,50.59,264.97,50.2,317.49,56.36,266.03,196.0,169.06,90.04,248.46,86.16,183.88,90.28,112.43,138.55,210.89,17.24,209.11,98.86,261.38,473.67,209.81,73.49,159.08,124.09,102.63,431.0,272.57,677.95,203.46,238.18,358.36,98.43,167.03,344.88,80.81,391.06,60.71,45.09,188.51,152.73,96.95,925.16,205.06,647.0,236.73,611.66,2236.36,62.26,116.73,344.96,191.47,101.51,171.8,260.2,231.45,177.1,193.21,214.94,183.43,65.08,228.4,70.25,133.8,85.54,36.74,114.77,74.73,201.56,121.84,244.97,669.52,293.74,208.06,57.77,75.96,59.39,79.47,89.68,797.89,164.72,371.06,135.54,705.96,242.77,95.06,41.17,289.53,610.89,38.37,104.5,348.0,58.6,361.39,56.1,204.93,21.45,346.46,222.4,30.99,103.19,170.46,461.19,92.59,150.41,531.85,63.21,126.79,295.35,63.69,397.75,243.55,63.45,184.25,54.68,246.28,83.99,54.39,36.67,89.02,181.32,160.81,410.69,78.45,60.63,216.8,30.77,233.09,257.06,473.42,53.91,682.37,374.52,136.07,23.29,73.67,226.46,2003.02,79.32,107.04,113.21,64.76,232.01,82.1,270.32,362.34,566.5,26.64,167.1,70.85,124.25,47.96,154.25,146.13,66.94,1721.4,44.6,82.71,269.0,409.58,198.6,57.84,152.42,184.14,332.63,84.27,607.9,66.51,36.43,279.68,358.93,43.42,235.32,72.52,125.8,45.56,141.55,63.8,264.92,108.02,16.16,80.86,156.26,169.6,628.14,112.86,87.13,125.64,318.93,55.51,458.45,133.87,371.24,244.87,202.69,80.04,82.61,372.62,66.89,86.86,23.93,226.66,186.51,93.48,605.31,211.94,56.73,261.38,49.5,116.77,64.1,89.55,147.12,103.04,40.02,87.88,297.81,163.37,86.08,62.0,152.21,232.62,196.17,703.92,174.56,34.15,350.64,233.77,79.16,176.14,89.14,1588.37,142.75,218.1,168.97,75.34,668.12,130.69,208.66,103.7,38.18,89.91,135.49,208.71,41.97,93.5,74.37,356.29,84.11,166.95,67.06,201.85,124.49,116.22,42.73,94.06,43.76,93.51,265.79,35.32,37.61,431.57,90.51
2021-12-13,175.74,339.4,3391.35,966.41,2916.53,2934.09,290.01,478.14,168.45,281.61,334.49,157.67,157.92,61.63,211.02,405.24,115.88,345.31,126.51,55.2,43.58,57.76,557.22,169.81,621.66,248.53,143.57,646.01,50.28,58.61,150.43,73.42,135.96,47.71,377.72,658.3,50.0,263.09,48.56,318.51,59.05,265.76,193.24,166.84,91.67,245.74,84.33,183.32,91.74,112.86,133.8,211.39,16.94,206.31,98.9,257.24,478.86,209.23,71.02,161.08,122.58,100.89,430.04,276.02,668.74,201.25,234.17,351.42,97.17,163.3,345.55,79.38,384.64,60.18,45.36,186.38,147.1,93.13,917.66,197.4,655.94,235.02,604.56,2149.51,63.17,115.56,340.36,190.23,103.04,170.65,260.07,232.36,174.58,198.63,215.15,178.47,66.18,227.9,70.61,129.0,84.35,36.01,115.01,73.13,196.21,120.74,252.81,660.15,293.81,208.15,56.82,76.75,58.0,81.14,88.03,816.17,164.23,377.33,135.58,684.97,243.43,96.69,41.43,284.49,605.55,37.63,104.75,355.21,58.7,360.34,57.17,203.49,20.43,346.0,226.0,29.83,104.29,169.7,464.37,92.33,146.04,534.92,59.13,126.29,297.56,61.81,398.8,244.1,64.64,178.88,53.32,240.9,84.98,53.84,35.73,86.59,175.44,153.68,399.75,78.15,59.87,217.94,29.23,230.8,271.99,475.97,54.14,671.76,379.54,139.28,22.75,73.38,221.79,1986.1,78.9,105.08,115.55,65.93,231.44,81.93,269.74,362.23,549.61,26.24,171.42,68.22,124.4,46.63,153.18,142.41,68.16,1690.93,45.63,83.44,268.88,403.75,198.68,57.02,151.1,184.13,331.6,83.6,605.34,67.46,35.28,280.92,365.02,41.06,237.37,69.64,126.95,44.6,140.88,65.19,263.29,108.2,15.93,83.2,156.29,168.81,621.76,109.68,85.16,126.77,314.1,54.93,457.43,132.14,353.91,248.07,202.24,77.63,83.47,369.93,66.69,87.97,22.71,228.94,188.65,95.11,591.9,214.04,56.13,263.49,49.14,112.85,64.09,89.78,146.5,102.35,40.05,89.26,292.84,162.81,85.38,60.2,147.63,234.5,194.12,675.6,172.03,34.48,351.02,231.94,77.06,180.9,88.35,1590.2,142.5,216.12,162.96,72.39,629.91,132.18,205.31,104.09,36.87,87.65,136.16,212.85,40.48,93.66,76.71,358.92,84.93,161.0,66.88,204.09,125.46,117.17,43.17,92.5,42.4,91.26,266.83,35.3,36.93,440.91,93.06
2021-12-14,174.33,328.34,3381.83,958.51,2878.14,2899.41,295.03,479.46,170.29,283.37,333.74,158.25,159.13,61.54,209.98,402.2,116.22,340.55,127.29,55.54,44.13,57.8,545.34,169.39,614.91,249.38,144.94,632.11,50.65,57.77,149.1,73.72,132.94,48.76,369.73,614.86,49.7,262.52,48.89,307.7,59.51,255.59,190.27,165.4,91.92,244.61,83.5,181.98,90.03,111.69,135.6,213.74,16.82,203.74,98.78,252.46,470.34,206.68,70.68,158.73,123.76,99.89,433.94,273.41,639.48,201.64,235.28,348.55,98.82,162.85,345.64,80.79,388.82,60.64,45.4,186.8,147.73,92.11,902.38,195.5,624.69,229.72,597.99,2124.93,63.39,114.71,328.24,192.54,102.77,168.98,254.75,228.07,174.72,194.9,216.62,176.28,65.97,227.55,70.52,126.71,83.29,35.92,117.31,72.94,198.81,116.9,247.94,670.97,294.15,209.24,57.31,76.6,58.66,82.13,85.3,805.83,162.58,376.22,133.81,679.21,241.7,97.14,40.85,283.74,621.89,37.96,106.83,352.29,59.52,356.76,56.17,203.47,20.05,342.76,225.45,29.67,104.23,164.84,461.86,91.35,147.92,512.5,58.4,126.15,298.2,62.45,391.94,245.11,64.85,177.52,53.88,240.04,85.13,54.66,37.26,85.29,170.72,154.01,399.46,81.85,60.8,213.0,28.74,229.63,277.16,466.29,53.85,667.36,386.38,138.09,22.51,73.52,219.99,1999.54,77.78,107.06,118.42,65.91,228.88,81.88,262.65,345.93,535.34,25.88,167.24,68.19,122.43,46.31,156.73,141.98,67.29,1677.2,45.58,82.19,263.22,395.09,198.71,57.16,150.93,176.06,315.8,82.47,596.35,67.39,35.6,273.35,363.5,40.34,236.81,70.73,128.23,44.35,139.24,64.53,259.53,110.71,15.82,82.51,151.88,166.62,591.07,109.6,84.89,126.85,311.4,53.55,448.59,131.99,350.6,244.24,199.8,77.64,83.17,351.74,65.85,87.06,22.48,224.8,187.69,94.76,583.74,211.99,56.78,256.46,49.32,115.53,63.03,90.37,145.71,102.08,38.89,89.26,292.24,162.46,84.81,59.37,149.42,230.76,190.02,676.68,160.78,34.78,342.62,232.17,76.18,179.3,88.17,1542.92,141.14,216.58,160.82,73.04,605.73,131.12,203.61,102.85,36.53,89.16,135.47,209.76,40.24,92.32,77.26,352.08,85.75,158.26,66.35,197.99,123.28,117.46,42.14,88.33,43.12,92.1,262.0,35.06,36.78,428.69,91.58
