,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf
0,ritchie bros auctioneers,magna,0.99669349193573,metro,0.9921623468399048,telus,0.99173504114151,lightspeed commerce,0.9911177754402161,pembina pipeline,0.9887510538101196,blackberry ltd,0.9839684367179871,canadian natural resources ltd,0.9819040894508362,loblaw companies ltd,0.9815933108329773,imperial oil ltd,0.9792922139167786,nutrien ltd,0.9787508249282837,kinross gold,0.9765025973320007,barrick gold,0.9757266044616699,quebecor,0.9729427099227905,canadian pacific railway ltd,0.967919111251831,canopy growth,0.9641622304916382,agnico eagle mines ltd,0.9601168632507324,manulife financial,0.9328957796096802,suncor,0.9154317378997803,cenovus,0.9108831286430359,enbridge,0.9106669425964355,tc,0.9081303477287292,emera,0.4725051522254944,thomson reuters,0.4299485385417938
1,metro,magna,0.9971286654472351,pembina pipeline,0.9949666261672974,canadian natural resources ltd,0.9928244352340698,loblaw companies ltd,0.9927939176559448,ritchie bros auctioneers,0.9921623468399048,imperial oil ltd,0.9906695485115051,blackberry ltd,0.9904406666755676,telus,0.9889864325523376,kinross gold,0.9888752698898315,barrick gold,0.9878782629966736,lightspeed commerce,0.9863602519035339,quebecor,0.9863364696502686,nutrien ltd,0.9850505590438843,canadian pacific railway ltd,0.9827920198440552,canopy growth,0.9748448133468628,agnico eagle mines ltd,0.9600263237953186,manulife financial,0.956383228302002,suncor,0.9408167600631714,cenovus,0.9380367994308472,enbridge,0.9372565746307373,tc,0.9339736700057983,thomson reuters,0.40935003757476807,emera,0.40512436628341675
2,pembina pipeline,canadian natural resources ltd,0.9973547458648682,blackberry ltd,0.9970737099647522,imperial oil ltd,0.996845543384552,loblaw companies ltd,0.9968264102935791,barrick gold,0.9958114624023438,metro,0.9949666261672974,kinross gold,0.994927167892456,quebecor,0.9943805932998657,nutrien ltd,0.9941158294677734,canadian pacific railway ltd,0.9927889704704285,magna,0.9922911524772644,telus,0.98949134349823,ritchie bros auctioneers,0.9887510538101196,lightspeed commerce,0.9858262538909912,canopy growth,0.9780283570289612,manulife financial,0.9723193645477295,suncor,0.9606940746307373,cenovus,0.9577310681343079,enbridge,0.9571273326873779,tc,0.9550647735595703,agnico eagle mines ltd,0.949796199798584,emera,0.36718279123306274,thomson reuters,0.34557390213012695
3,emera,agnico eagle mines ltd,0.49589067697525024,lightspeed commerce,0.488293319940567,ritchie bros auctioneers,0.472505122423172,telus,0.4604458808898926,thomson reuters,0.4584912955760956,magna,0.44932419061660767,metro,0.40512436628341675,canopy growth,0.3744545876979828,pembina pipeline,0.36718279123306274,blackberry ltd,0.33966463804244995,loblaw companies ltd,0.33788418769836426,canadian natural resources ltd,0.3344464898109436,imperial oil ltd,0.32161444425582886,nutrien ltd,0.3205312490463257,kinross gold,0.3182954788208008,quebecor,0.29766228795051575,barrick gold,0.29409635066986084,canadian pacific railway ltd,0.26839062571525574,manulife financial,0.16203448176383972,suncor,0.12038572132587433,enbridge,0.11705870926380157,cenovus,0.109721839427948,tc,0.10752302408218384
4,thomson reuters,agnico eagle mines ltd,0.4735780358314514,emera,0.4584912955760956,ritchie bros auctioneers,0.4299485385417938,magna,0.42307454347610474,metro,0.40935003757476807,telus,0.39568889141082764,lightspeed commerce,0.38993239402770996,pembina pipeline,0.34557390213012695,loblaw companies ltd,0.3286842107772827,canopy growth,0.32428744435310364,canadian natural resources ltd,0.31645557284355164,blackberry ltd,0.3061584234237671,imperial oil ltd,0.3051985800266266,barrick gold,0.30116260051727295,kinross gold,0.3003171980381012,quebecor,0.28806787729263306,nutrien ltd,0.27640965580940247,canadian pacific railway ltd,0.27036094665527344,manulife financial,0.18930485844612122,suncor,0.1465715765953064,cenovus,0.1429784744977951,enbridge,0.12857095897197723,tc,0.12525027990341187
5,canadian pacific railway ltd,barrick gold,0.9988622069358826,imperial oil ltd,0.9978430271148682,quebecor,0.9976541996002197,canadian natural resources ltd,0.9966274499893188,kinross gold,0.9963980913162231,blackberry ltd,0.9960123896598816,nutrien ltd,0.9959823489189148,loblaw companies ltd,0.9947417974472046,pembina pipeline,0.9927889704704285,manulife financial,0.9922541975975037,suncor,0.9854426980018616,cenovus,0.9841613173484802,enbridge,0.9834160804748535,metro,0.9827920198440552,tc,0.9822490811347961,magna,0.9752486348152161,canopy growth,0.971461296081543,telus,0.9704467058181763,ritchie bros auctioneers,0.967919111251831,lightspeed commerce,0.9653385877609253,agnico eagle mines ltd,0.9232128858566284,thomson reuters,0.27036094665527344,emera,0.26839062571525574
6,loblaw companies ltd,kinross gold,0.9990214705467224,quebecor,0.9980405569076538,imperial oil ltd,0.9978451132774353,canadian natural resources ltd,0.9972565174102783,barrick gold,0.9972524642944336,pembina pipeline,0.9968264102935791,blackberry ltd,0.9960638284683228,canadian pacific railway ltd,0.9947417974472046,nutrien ltd,0.9946106672286987,metro,0.9927938580513,magna,0.9890405535697937,telus,0.9842697381973267,ritchie bros auctioneers,0.9815933108329773,lightspeed commerce,0.9809012413024902,manulife financial,0.9792717695236206,canopy growth,0.9702287316322327,suncor,0.9675048589706421,enbridge,0.9655704498291016,cenovus,0.9650305509567261,tc,0.9623152613639832,agnico eagle mines ltd,0.93525630235672,emera,0.33788418769836426,thomson reuters,0.3286842107772827
7,cenovus,suncor,0.9994238018989563,tc,0.9993423223495483,enbridge,0.9990310668945312,manulife financial,0.9973654747009277,canadian pacific railway ltd,0.9841613173484802,barrick gold,0.9773670434951782,quebecor,0.9768079519271851,imperial oil ltd,0.9724570512771606,nutrien ltd,0.9719215035438538,kinross gold,0.9716516733169556,canadian natural resources ltd,0.9689351320266724,blackberry ltd,0.9678117036819458,loblaw companies ltd,0.9650305509567261,pembina pipeline,0.9577310681343079,canopy growth,0.9382185935974121,metro,0.9380367398262024,magna,0.9220832586288452,telus,0.9169524908065796,ritchie bros auctioneers,0.9108830690383911,lightspeed commerce,0.9083801507949829,agnico eagle mines ltd,0.8609113693237305,thomson reuters,0.1429784744977951,emera,0.109721839427948
8,canopy growth,agnico eagle mines ltd,0.9796653389930725,canadian natural resources ltd,0.9792467355728149,pembina pipeline,0.9780282974243164,blackberry ltd,0.9767700433731079,imperial oil ltd,0.9761863946914673,metro,0.9748448133468628,telus,0.9721930027008057,canadian pacific railway ltd,0.971461296081543,barrick gold,0.9711621999740601,loblaw companies ltd,0.9702287316322327,magna,0.9688307046890259,lightspeed commerce,0.9686564207077026,quebecor,0.9684979915618896,nutrien ltd,0.968137800693512,kinross gold,0.9677591919898987,ritchie bros auctioneers,0.9641622304916382,manulife financial,0.9473211765289307,suncor,0.9395701885223389,cenovus,0.9382185935974121,tc,0.9344717860221863,enbridge,0.9337663650512695,emera,0.3744545876979828,thomson reuters,0.32428744435310364
9,manulife financial,suncor,0.9978582859039307,cenovus,0.9973654747009277,enbridge,0.9973344206809998,tc,0.9963774681091309,canadian pacific railway ltd,0.9922542572021484,quebecor,0.9882074594497681,barrick gold,0.987911581993103,kinross gold,0.9844858646392822,imperial oil ltd,0.9840042591094971,nutrien ltd,0.982822060585022,canadian natural resources ltd,0.9810805320739746,blackberry ltd,0.979601263999939,loblaw companies ltd,0.9792717695236206,pembina pipeline,0.9723193645477295,metro,0.956383228302002,canopy growth,0.9473211765289307,magna,0.9434101581573486,telus,0.9370725750923157,ritchie bros auctioneers,0.9328957200050354,lightspeed commerce,0.929608941078186,agnico eagle mines ltd,0.8789197206497192,thomson reuters,0.18930485844612122,emera,0.16203448176383972
