0,1,2,company
-0.85069895,0.08073227,0.37927243,ritchie bros auctioneers
-0.8640057,0.049754497,0.30183467,metro
-0.87652117,0.09702375,0.423074,pembina pipeline
-0.8847928,0.06266444,0.33041754,emera
-0.72322816,0.076683745,0.21241826,thomson reuters
4.71504,-3.3600204,0.10249791,canadian pacific railway ltd
4.7680335,3.37463,0.06753683,loblaw companies ltd
-0.50114423,0.025791325,-0.10366359,cenovus
-0.44620416,0.032716237,-0.15779029,canopy growth
-0.4364062,-0.052735075,0.081200704,manulife financial
-0.4518432,0.007538918,-0.005140191,tc
-0.37368274,0.008069945,-0.13142738,canadian natural resources ltd
-0.41916698,-0.005648205,-0.072355755,quebecor
-0.38852406,-0.031704832,-0.022158531,kinross gold
-0.3082472,-0.06452753,0.07375178,barrick gold
-0.41560656,-0.002411167,-0.15617505,agnico eagle mines ltd
-0.3924836,-0.0048014103,-0.16390142,blackberry ltd
-0.14810498,-0.086073294,-0.035710867,telus
-0.11560733,-0.14449608,-0.015142248,magna
-0.2645479,0.025311671,-0.39102408,imperial oil ltd
-0.34409663,-0.008653637,-0.29498667,enbridge
0.05260609,-0.020352177,0.09935805,suncor
-0.12684219,-0.04447761,-0.16203855,nutrien ltd
-0.20392409,-0.015015562,-0.35984665,lightspeed commerce
