,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,london stock exchange,melrose industries,0.9929019212722778,schroders,0.9890128374099731,spirax sarco engineering,0.9883351922035217,experian,0.9864897131919861,johnson matthey,0.9861111640930176,prudential,0.9842188954353333,sage,0.882634162902832,ocado,0.5089953541755676,tesco,0.5026077032089233,antofagasta,0.43700090050697327,glencore,0.36742883920669556,imperial brands,0.3120928108692169,rio tinto,0.28729110956192017,natwest,0.15584783256053925,barclays,0.11234727501869202,bp,0.08962429314851761,intercontinental hotels,0.05739075690507889,shell,0.050732508301734924,lloyds banking,0.02764935791492462,diageo,0.02394198626279831,pearson,-0.006582275032997131,astrazeneca,-0.028584659099578857,vodafone,-0.05357374995946884,glaxosmithkline,-0.08205901086330414,unilever,-0.09456609189510345
1,natwest,intercontinental hotels,0.9855674505233765,rio tinto,0.9822407960891724,barclays,0.9689457416534424,shell,0.9651786684989929,bp,0.9333569407463074,astrazeneca,0.9290329813957214,glencore,0.9070866703987122,pearson,0.9020099639892578,unilever,0.8977898359298706,glaxosmithkline,0.8922299146652222,lloyds banking,0.8873218297958374,antofagasta,0.8835167288780212,vodafone,0.8809037208557129,british american tobacco,0.8783984780311584,diageo,0.8678712844848633,tesco,0.4558470845222473,ocado,0.41488534212112427,sage,0.23070481419563293,london stock exchange,0.15584783256053925,experian,0.14284615218639374,schroders,0.13915328681468964,melrose industries,0.13760517537593842,johnson matthey,0.12443611025810242,prudential,0.11937631666660309,imperial brands,0.10013037919998169
2,shell,intercontinental hotels,0.9907039403915405,bp,0.9852533340454102,pearson,0.9792286157608032,astrazeneca,0.9758906960487366,unilever,0.9746544361114502,barclays,0.972020149230957,glaxosmithkline,0.9699068665504456,vodafone,0.9682644605636597,lloyds banking,0.9677990674972534,natwest,0.9651786684989929,british american tobacco,0.9650636911392212,diageo,0.953814685344696,rio tinto,0.9416730999946594,glencore,0.8259960412979126,antofagasta,0.7901403903961182,tesco,0.334162175655365,ocado,0.2918612062931061,imperial brands,0.2301715612411499,sage,0.11397919058799744,experian,0.057412706315517426,schroders,0.05550722777843475,melrose industries,0.0538664311170578,london stock exchange,0.050732508301734924,johnson matthey,0.04429146647453308,prudential,0.03376943618059158
3,vodafone,glaxosmithkline,0.9972631931304932,british american tobacco,0.9966226816177368,unilever,0.9962392449378967,pearson,0.9926115274429321,diageo,0.9918394684791565,lloyds banking,0.9916635155677795,astrazeneca,0.9821050763130188,bp,0.974631667137146,shell,0.9682645201683044,intercontinental hotels,0.9439424276351929,barclays,0.9411469101905823,natwest,0.8809037208557129,rio tinto,0.8627914190292358,glencore,0.7451324462890625,antofagasta,0.698488175868988,imperial brands,0.320250540971756,tesco,0.1251075267791748,ocado,0.08320361375808716,melrose industries,-0.03214408457279205,schroders,-0.03742247074842453,experian,-0.03899975121021271,johnson matthey,-0.04699806869029999,sage,-0.049877993762493134,london stock exchange,-0.053573742508888245,prudential,-0.06492309272289276
4,glaxosmithkline,unilever,0.9985907077789307,vodafone,0.9972631931304932,british american tobacco,0.9970335960388184,astrazeneca,0.9906399250030518,pearson,0.9875903725624084,diageo,0.9873071312904358,lloyds banking,0.9854533672332764,shell,0.9699068665504456,bp,0.9694750308990479,intercontinental hotels,0.953378438949585,barclays,0.952581524848938,natwest,0.8922299146652222,rio tinto,0.8715286254882812,glencore,0.7641441822052002,antofagasta,0.7158931493759155,imperial brands,0.27119171619415283,tesco,0.10757070779800415,ocado,0.06452752649784088,melrose industries,-0.06539183109998703,schroders,-0.07229186594486237,experian,-0.07404854148626328,london stock exchange,-0.08205901086330414,sage,-0.08247007429599762,johnson matthey,-0.08316511660814285,prudential,-0.10056065022945404
5,astrazeneca,glaxosmithkline,0.9906399250030518,unilever,0.9885318279266357,vodafone,0.9821049571037292,barclays,0.9817147850990295,british american tobacco,0.9809485077857971,shell,0.9758906960487366,diageo,0.9749162197113037,intercontinental hotels,0.9743074178695679,pearson,0.9722692370414734,lloyds banking,0.9706423282623291,bp,0.9651120901107788,natwest,0.9290329813957214,rio tinto,0.9181637167930603,glencore,0.8385250568389893,antofagasta,0.7949475049972534,imperial brands,0.1987285166978836,tesco,0.13665373623371124,ocado,0.09234721958637238,melrose industries,-0.024003461003303528,london stock exchange,-0.028584659099578857,schroders,-0.03338077664375305,experian,-0.036056891083717346,sage,-0.04566168785095215,johnson matthey,-0.047669969499111176,prudential,-0.06423190981149673
6,spirax sarco engineering,melrose industries,0.9983105659484863,schroders,0.9975858926773071,johnson matthey,0.9974031448364258,experian,0.996251106262207,prudential,0.9952545762062073,london stock exchange,0.9883351922035217,sage,0.8808531165122986,ocado,0.48542356491088867,tesco,0.4755181074142456,imperial brands,0.43434518575668335,antofagasta,0.35689014196395874,glencore,0.2874586582183838,rio tinto,0.2226787805557251,natwest,0.09552127122879028,bp,0.07441135495901108,barclays,0.06159117817878723,lloyds banking,0.021048426628112793,diageo,0.014975197613239288,shell,0.013562649488449097,intercontinental hotels,0.009479105472564697,pearson,-0.018721386790275574,astrazeneca,-0.06640830636024475,vodafone,-0.0705552026629448,glaxosmithkline,-0.1048954427242279,unilever,-0.11711990833282471
7,melrose industries,spirax sarco engineering,0.9983105659484863,schroders,0.9973862171173096,johnson matthey,0.9962265491485596,experian,0.995461642742157,prudential,0.9931477308273315,london stock exchange,0.9929019212722778,sage,0.8778547048568726,ocado,0.4869520664215088,tesco,0.4792468547821045,imperial brands,0.4172925651073456,antofagasta,0.4003506898880005,glencore,0.33288508653640747,rio tinto,0.2667638659477234,natwest,0.1376051902770996,bp,0.1102561429142952,barclays,0.10587985813617706,lloyds banking,0.05638553202152252,shell,0.0538664311170578,diageo,0.05198005586862564,intercontinental hotels,0.05140160769224167,pearson,0.017496243119239807,astrazeneca,-0.024003446102142334,vodafone,-0.03214409202337265,glaxosmithkline,-0.06539180874824524,unilever,-0.07830534875392914
8,barclays,intercontinental hotels,0.9862540364265442,astrazeneca,0.9817147850990295,rio tinto,0.9723053574562073,shell,0.972020149230957,natwest,0.9689457416534424,bp,0.9545278549194336,glaxosmithkline,0.952581524848938,unilever,0.9494614601135254,vodafone,0.9411469101905823,diageo,0.9408696889877319,pearson,0.940475583076477,lloyds banking,0.9398337602615356,british american tobacco,0.93538898229599,glencore,0.9192616939544678,antofagasta,0.8884432315826416,tesco,0.2458769679069519,ocado,0.20211811363697052,imperial brands,0.15890637040138245,london stock exchange,0.11234728246927261,melrose industries,0.10587985813617706,schroders,0.09558804333209991,experian,0.09355095028877258,sage,0.09147967398166656,johnson matthey,0.07901507616043091,prudential,0.06535046547651291
9,rio tinto,natwest,0.9822407960891724,barclays,0.9723053574562073,intercontinental hotels,0.9633163213729858,glencore,0.9589725732803345,antofagasta,0.9441910982131958,shell,0.9416730999946594,astrazeneca,0.9181637167930603,bp,0.9150845408439636,pearson,0.8770288825035095,lloyds banking,0.8731731176376343,glaxosmithkline,0.8715286254882812,unilever,0.8710551261901855,diageo,0.8650335073471069,vodafone,0.8627912402153015,british american tobacco,0.8490861058235168,tesco,0.41940081119537354,ocado,0.37893033027648926,sage,0.28882718086242676,london stock exchange,0.28729110956192017,melrose industries,0.2667638957500458,schroders,0.26080119609832764,experian,0.260352224111557,johnson matthey,0.2441013902425766,prudential,0.2348249852657318,spirax sarco engineering,0.2226787805557251
