0,1,2,company
-1.0992833,-0.48786458,-1.1482376,ball
-1.7937258,0.47095233,-0.16015154,monster beverage
-0.89001614,-0.6075259,-0.44604233,digital realty
-0.041148752,-1.0703249,-0.6542703,emerson electric
-0.4169557,-0.8887066,-0.6044254,yum brands
-1.464134,-0.9824405,0.044682864,consolidated edison
-1.6508485,-0.63180625,0.008931801,dollar general
-0.09875429,-0.65626484,-0.44031534,hess
-0.06534348,-2.68589,-1.6189966,marvell technology
-1.7698157,-1.0620466,-0.03723512,lam research
-0.9054956,-1.0783046,-1.0474279,aflac
-1.1142093,-0.17319296,-2.1540277,union pacific
-0.31467733,-0.601138,0.265539,schlumberger
-1.7105445,-0.54166484,0.89180166,accenture
0.6615703,-2.4134297,-2.7036717,lululemon athletica
-0.9577967,-0.4677212,0.6967393,amgen
-0.94833595,0.8334078,0.43740287,eli lilly
-2.4314148,2.4781067,-0.8188674,cadence design systems
-1.1007901,-0.21849555,-2.8090563,hp
-1.169278,-1.4108402,3.664165,altria
-1.6184548,-0.78864425,1.0924734,paypal holdings
-1.102542,-1.1593944,1.3658229,analog devices
-0.3417352,-2.0187044,2.1237032,fedex
7.4897494,3.076861,-1.0137498,starbucks
-2.371802,1.4574877,0.098929755,halliburton
-0.48060626,1.6128036,-1.7404224,oreilly automotive
0.54978126,-0.71595776,0.124001786,servicenow
-1.5697831,-1.8577319,1.3357509,archer daniels midland
-1.0162184,-0.30824688,-2.434296,equifax
-0.5855921,-1.2662404,-1.6228136,microchip technology
0.048682325,-0.7389837,2.2737415,netflix
-0.25767162,-1.5678047,3.8918412,morgan stanley
-2.6175027,1.531561,-0.14209412,twitter
-2.554344,1.7381383,-0.68649966,citigroup
4.62332,3.5703425,1.1423906,american express
3.1779268,3.515582,2.3950694,northrop grumman
3.0423183,3.284642,2.2608576,eaton
3.612525,-1.219833,0.73659825,pfizer
-0.3697201,-1.8939335,0.8961672,visa
-0.39930725,2.8029091,-1.2008295,home depot
-2.6244783,0.27905983,0.8363154,charles schwab
-0.55713373,3.662105,0.3702172,comcast
2.4976277,-2.8512566,-1.670413,fiserv
5.431114,2.2745924,-0.7110972,charter communications
6.338771,2.549736,-0.894619,arista networks
-0.25042275,-0.51078933,0.321835,cisco systems
-1.6720395,1.6530836,-1.3293948,tyson foods
-1.710149,-0.30611223,3.6044493,dominion
1.1498941,-2.5148861,-2.1790254,fortinet
-1.7742242,-1.084761,-0.5929041,philip morris
1.9013151,-2.872544,-2.2914684,advanced micro devices
0.1707667,0.4036588,0.07906461,marriott
-0.47416234,-1.42238,-1.6175565,thermo fisher scientific
-3.10104,2.725558,-1.5015943,resmed
-0.46346733,-0.79097784,-1.2325394,boeing
-1.7319402,-0.2583296,-0.08810507,delta air lines
-0.35507515,0.8367409,-0.58465195,caterpillar
-1.0625559,0.8037379,0.8737251,moderna
