apple,microsoft,amazon com,tesla,alphabet,alphabet,berkshire hathaway,johnson & johnson,unitedhealth,nvidia,meta platforms,procter & gamble,jpmorgan chase &,exxon mobil,visa,home depot,chevron,mastercard,abbvie,pfizer,bank of,coca cola,costco wholesale,eli lilly,pepsico,broadcom,walmart,cisco systems,merck &,walt disney,verizon communications,abbott laboratories,thermo fisher scientific,comcast,accenture,adobe,mcdonalds,intel corporation,wells fargo,bristol myers squibb,philip morris,danaher,salesforce,texas instrument,qualcomm,union pacific,nike,raytheon technologies,nextera,medtronic,amgen,advanced micro devices,at&t,lowes companies,cvs health,united parcel service,s&p global,honeywell,anthem,prologis,international business machines,conocophillips,oracle,american tower,caterpillar,target,intuit,american express,morgan stanley,lockheed martin,deere,charles schwab,goldman sachs,altria,citigroup,paypal holdings,applied material,automatic data processing,blackrock,servicenow,boeing,mondelez,booking holdings,general electric,starbucks,chubb ltd,duke,stryker,intuitive surgical,netflix,marsh & mclennan,zoetis,3m,cigna,crown castle,analog devices,southern,gilead sciences,cme,blackstone,csx,micron technology,t mobile us,tjx,becton dickinson,pnc financial services,edwards lifesciences,waste management,regeneron,vertex,aon,us bancorp,dominion,truist financial,colgate palmolive,equinix,sherwin williams,eog resources,northrop grumman,lam research,intercontinental exchange,progressive,illinois tool,norfolk southern,boston scientific,public storage,activision blizzard,freeport mcmoran,general dynamics,charter communications,estee lauder,fidelity national information serv,newmont,ford motor,fiserv,dollar general,eaton,palo alto networks,humana,schlumberger,capital one financial,emerson electric,hca healthcare,sempra,marathon petroleum,general motors,air products and chemicals,moodys,uber technologies,archer daniels midland,dow,american electric power,moderna,roper technologies,pioneer natural resource,fedex,marvell technology,marriott,block,oreilly automotive,american,kla,mckesson,centene,exelon,l3harris technologies,kimberly clark,metlife,occidental petroleum,autozone,sysco,nxp semiconductors,illumina,warner bros. discovery inc series,cognizant technology solutions,general mills,valero,synopsys,nucor,johnson controls,ecolab,digital realty,prudential financial,travelers companies,cadence design systems,welltower,paychex,williams,hilton worldwide holdings,corteva,autodesk,dexcom,fortinet,realty income,kroger,chipotle mexican grill,simon property,crowdstrike holdings,lululemon athletica,amphenol,xcel,iqvia holdings,hp,aflac,workday,constellation brands,idexx laboratories,twitter,phillips 66,devon,dollar tree,sba communications reit corp class,global payments,allstate,public service enterprise,motorola solutions,snowflake,ross stores,kinder morgan,agilent technologies,arthur j gallagher,microchip technology,baxter,parker hannifin,cintas,electronic arts,carrier global,dupont de nemours,msci,consolidated edison,avalonbay communities,atlassian,yum brands,trane technologies,ebay,equity residential,verisk analytics,hershey foods,wec,monster beverage,transdigm,walgreen boots alliance,bank of new york mellon,alexandria real estate equities,fastenal,cheniere,discover financial services,resmed,halliburton,weyerhaeuser,international flavors & fragrances,eversource,datadog,otis worldwide,biogen,m&t bank,t rowe price,willis towers watson,ameriprise finance,ppg industries,kraft heinz,oneok,svb financial,rockwell automation,ametek,paccar,mettler toledo,american water works,align technology,hess,kkr and,republic services,old dominion freight line,aptiv,cummins,arista networks,cerner,cbre,first republic bank,lyondellbasell industries nv class,corning,tyson foods,delta air lines,extra space storage,southwest airlines,expedia,trade desk,edison,zimmer biomet holdings,keysight technologies,dte,keurig dr pepper,ball,fifth third bancorp,invitation homes,veeva systems,mccormick & co non voting,church and dwight,equifax
182.01,334.75,3408.09,1199.78,2899.83,2901.49,300.79,171.54,502.28,301.21,338.54,162.9,161.7,63.54,221.43,408.64,119.26,370.95,135.42,56.65,46.18,59.3,566.71,271.73,172.98,663.32,144.65,63.16,76.87,156.76,52.44,139.04,644.92,50.74,407.21,564.37,268.58,53.21,50.73,61.88,95.73,315.76,255.46,190.6,186.21,247.77,164.67,86.97,91.66,106.1,226.69,150.24,19.19,255.51,104.16,213.5,461.1,206.8,464.86,164.9,136.04,73.77,87.9,286.38,207.0,231.95,631.47,168.21,100.19,354.36,350.11,85.76,395.33,47.97,63.1,194.94,159.93,244.01,911.73,630.14,207.86,65.97,2461.42,96.24,116.68,191.44,103.49,268.42,360.0,597.37,167.23,234.03,177.74,234.2,207.74,177.15,68.17,72.58,225.46,126.63,37.08,95.75,114.43,75.55,253.21,208.22,128.34,162.74,627.1,222.53,293.24,57.27,78.35,60.4,84.59,836.11,339.12,91.16,385.53,725.46,133.95,102.0,243.48,292.35,43.12,365.28,67.42,41.48,207.46,647.58,370.29,113.88,60.98,21.77,107.62,235.48,168.66,544.21,465.45,31.72,148.34,91.76,254.08,131.99,65.66,61.17,295.81,383.59,43.95,67.89,56.87,88.61,235.05,474.97,186.89,258.55,89.43,163.91,164.03,695.94,57.39,435.09,248.1,82.65,57.07,211.57,142.43,63.23,31.06,2045.11,78.95,231.22,380.87,25.33,89.57,67.26,77.14,361.1,113.04,79.35,229.83,175.09,109.92,155.75,183.16,85.56,134.51,26.5,154.48,46.9,283.72,520.79,333.12,71.2,45.19,1690.67,160.3,198.33,387.56,86.5,67.94,273.58,38.02,58.27,263.72,252.82,631.01,42.66,75.74,45.57,141.17,379.87,141.7,118.27,66.16,267.43,332.01,113.16,16.35,156.48,166.71,88.0,86.87,316.0,424.09,134.95,52.52,80.66,595.58,85.13,252.62,350.42,136.53,194.85,66.8,91.06,221.66,193.21,96.09,96.54,641.59,53.06,58.51,219.83,61.98,102.49,118.64,259.51,23.99,40.57,149.12,89.13,163.83,85.57,244.14,158.25,194.58,235.57,304.26,170.6,36.14,59.99,688.17,339.66,143.67,88.48,1674.86,184.14,648.05,76.79,73.52,135.41,346.37,166.03,219.53,142.24,92.84,108.67,197.36,93.16,37.19,87.8,40.29,219.23,44.0,184.97,90.11,67.51,129.13,202.66,119.18,36.71,93.26,44.67,44.97,256.31,95.82,101.71,284.0
179.7,329.01,3350.44,1149.59,2887.99,2888.33,308.53,171.08,490.9,292.9,336.53,163.47,167.83,65.93,222.46,412.84,121.43,375.39,135.16,54.53,47.99,60.29,564.23,266.81,173.23,670.92,142.0,61.25,77.01,155.73,53.47,135.77,618.0,50.19,404.3,554.0,268.51,53.14,52.75,62.13,96.34,307.26,248.23,190.8,187.23,252.03,166.39,90.02,90.68,106.39,227.84,144.42,19.35,259.81,104.29,217.29,459.82,209.0,458.17,161.0,138.02,76.97,88.84,282.77,218.08,234.17,618.32,173.61,104.26,361.99,371.29,89.96,407.48,49.03,63.59,191.14,158.36,245.15,917.22,603.94,213.63,66.45,2464.93,99.37,114.24,195.61,103.41,277.77,354.63,591.15,167.15,225.12,180.23,233.3,202.15,175.55,68.17,72.21,227.27,124.94,37.63,96.34,114.06,76.72,251.78,215.89,127.89,164.3,616.82,221.86,294.27,58.77,78.1,62.35,84.87,814.63,335.72,95.35,396.99,712.0,134.07,102.16,247.58,294.72,43.64,365.03,67.2,42.15,212.05,640.77,371.86,114.51,60.43,24.31,109.0,233.7,171.46,524.0,458.99,33.26,151.15,95.83,260.27,134.37,67.81,65.74,299.42,386.27,44.42,69.15,58.41,88.65,233.06,470.16,191.28,264.91,88.37,168.01,156.33,698.86,59.0,431.24,248.0,81.08,57.01,214.01,143.2,64.94,33.38,2080.25,80.88,232.87,372.36,26.75,91.42,67.89,78.51,352.99,117.07,80.34,233.51,169.09,113.71,159.0,178.3,88.14,134.25,26.74,155.96,47.77,278.19,512.27,322.14,72.25,46.17,1647.32,162.98,189.19,380.82,86.77,68.37,268.17,39.2,60.18,253.06,254.6,605.42,40.85,78.57,47.66,140.51,369.46,145.43,121.13,65.99,264.8,315.53,113.16,16.58,151.19,167.43,87.47,88.0,324.04,425.11,135.76,53.82,82.54,591.13,84.97,255.12,334.99,137.26,195.0,65.14,92.25,221.73,194.86,95.85,97.74,644.03,53.48,60.6,220.82,62.33,104.74,122.3,253.44,25.43,41.09,149.68,88.39,157.76,86.22,241.73,164.0,195.12,238.67,318.08,171.25,36.91,61.4,706.15,343.1,146.09,92.74,1640.73,179.42,623.5,81.16,74.31,136.58,354.98,172.21,227.91,138.66,92.64,110.3,202.62,96.96,38.01,89.54,40.59,221.59,44.66,185.37,85.36,66.67,130.44,197.36,119.38,37.26,90.01,46.57,45.13,255.02,96.5,101.82,285.61
174.92,316.38,3287.14,1088.12,2755.5,2753.07,309.92,172.22,489.69,276.04,324.17,164.21,163.78,66.75,220.0,407.24,122.22,373.9,135.87,55.63,47.18,60.79,549.92,260.65,173.82,643.0,143.92,60.28,78.88,155.19,54.02,135.16,618.52,50.22,397.18,514.43,267.19,53.87,52.29,62.16,95.95,305.3,227.67,186.82,186.5,252.79,162.25,89.57,89.73,106.01,225.14,136.15,19.78,254.75,105.81,214.56,455.76,211.06,458.22,157.65,138.22,75.65,86.46,264.57,219.75,228.86,593.7,171.76,101.68,358.14,372.05,89.31,398.63,48.64,62.85,187.16,153.74,243.06,891.77,572.76,213.07,67.41,2413.3,99.37,110.44,194.02,103.64,272.25,341.95,567.52,164.83,216.56,179.49,236.52,188.46,172.84,68.25,72.18,226.43,117.79,37.44,94.4,115.36,75.14,252.95,212.39,123.92,161.84,595.12,221.42,293.0,58.46,79.21,61.67,85.22,789.1,336.35,93.6,394.99,691.81,132.39,102.89,246.63,294.71,43.05,361.77,66.29,41.68,210.31,624.86,356.11,116.53,60.33,23.66,108.36,233.8,169.01,504.86,455.83,33.26,148.26,95.69,258.97,135.19,68.24,62.74,304.24,377.05,43.24,68.61,58.35,89.47,215.23,466.53,192.92,262.13,84.12,164.37,143.49,685.33,58.19,420.74,247.31,79.79,56.97,209.38,144.06,64.63,31.81,2034.03,80.2,224.57,367.88,26.45,90.02,68.8,78.2,339.77,122.72,79.03,233.23,162.88,111.4,159.77,172.62,86.98,131.69,26.8,151.8,47.24,264.32,487.81,303.49,71.08,46.81,1594.55,161.03,179.29,362.48,85.12,69.04,261.61,38.87,60.08,248.26,253.36,583.46,39.5,78.32,46.61,140.4,350.77,146.42,121.02,65.83,259.11,296.87,109.66,16.67,148.6,164.29,84.52,87.86,318.37,405.98,133.8,52.37,81.79,566.12,85.55,251.15,311.64,135.52,192.67,64.49,90.46,214.31,197.0,96.96,96.05,647.84,54.0,60.18,206.65,61.54,105.25,120.64,244.74,25.18,40.07,144.92,89.23,145.52,83.83,239.27,165.29,187.48,237.01,314.94,173.1,36.76,60.64,681.93,337.36,143.43,93.08,1583.11,178.1,578.84,80.83,68.98,134.16,342.28,168.28,226.95,133.15,92.55,106.72,197.97,96.27,38.18,89.72,40.28,217.74,43.99,181.3,79.64,65.2,130.01,192.16,119.25,37.03,91.42,46.43,43.89,241.57,96.92,102.54,279.27
172.0,313.88,3265.08,1064.7,2754.95,2751.02,313.22,171.63,469.65,281.78,332.46,162.83,165.52,68.32,219.75,405.76,123.26,370.0,135.23,54.84,48.13,60.47,549.8,259.33,173.86,637.03,143.52,60.92,78.83,156.9,53.76,135.14,620.4,50.51,378.0,514.12,269.69,54.01,53.63,61.48,97.41,303.92,229.15,186.76,185.95,253.49,161.04,90.06,85.77,104.97,225.17,136.23,19.71,257.79,102.59,216.64,451.96,210.82,439.45,156.57,135.34,78.49,86.34,264.89,221.99,231.35,586.39,172.9,103.42,358.0,376.36,90.74,396.93,49.21,64.91,192.27,156.34,241.39,895.49,574.04,211.34,67.38,2429.97,99.95,111.14,197.99,103.47,271.5,334.18,553.29,166.69,217.42,178.0,227.54,192.5,173.39,68.17,71.59,225.71,119.16,37.71,95.65,115.57,75.47,249.73,220.57,123.23,162.85,598.44,221.65,290.5,60.05,79.06,63.98,84.66,775.08,333.56,95.52,397.27,701.91,133.16,105.25,246.6,296.64,42.59,365.34,63.82,40.53,211.74,631.95,355.39,116.65,58.67,24.46,109.14,235.8,169.41,532.91,367.53,34.05,150.73,96.23,254.51,136.16,70.15,62.87,298.02,374.62,42.03,69.22,58.24,89.18,216.06,471.5,198.33,263.19,85.53,165.22,144.66,700.22,59.19,432.22,244.61,76.34,56.73,217.55,143.12,66.45,32.76,2062.49,79.67,226.96,378.93,25.72,88.23,68.49,80.16,344.97,116.6,80.38,230.46,160.8,113.22,162.33,173.12,87.63,130.8,27.44,152.18,47.9,264.11,483.0,314.0,71.41,47.12,1620.97,163.16,187.49,368.77,85.19,68.5,262.51,38.68,61.19,250.63,244.79,576.36,39.59,80.48,48.37,142.82,349.17,151.26,122.4,65.89,257.69,297.09,109.44,17.02,149.12,166.08,85.3,86.78,324.13,403.0,129.69,53.5,81.99,562.98,85.37,251.93,313.75,136.92,195.03,66.81,90.72,212.67,196.57,96.35,95.52,644.76,52.44,61.3,209.84,61.89,109.56,122.82,241.8,25.61,40.39,143.82,88.9,143.89,84.71,237.3,171.93,190.02,234.34,319.2,170.62,36.83,61.65,733.29,335.11,145.15,94.01,1602.85,175.3,567.62,85.25,70.59,134.42,342.19,174.12,230.19,132.67,92.36,105.71,202.63,96.7,38.33,90.84,40.11,217.65,43.89,177.58,76.93,64.62,128.93,192.59,119.57,37.43,91.56,48.37,43.75,241.67,96.49,102.71,279.85
172.17,314.04,3251.08,1026.96,2740.34,2740.09,319.78,173.95,458.6,272.47,331.79,162.74,167.16,68.88,216.96,393.61,125.03,369.65,134.88,55.72,49.18,60.33,536.18,259.5,174.08,619.15,144.89,61.13,80.3,157.83,54.24,135.56,607.07,50.05,370.75,510.7,267.06,53.44,54.77,62.83,99.14,295.67,228.31,179.44,180.41,254.78,156.97,90.44,86.41,105.16,227.29,132.0,19.84,251.09,104.19,218.16,446.75,215.75,434.99,153.73,134.83,80.64,87.51,266.58,224.19,230.78,567.56,174.38,104.05,360.14,378.65,91.74,397.51,49.77,65.78,187.6,150.81,238.84,892.27,566.39,215.5,67.55,2434.58,101.4,107.57,201.19,104.5,263.57,324.29,541.06,163.81,211.09,179.95,233.18,194.73,168.84,68.64,71.26,225.04,116.65,37.51,94.45,109.74,74.38,254.15,223.73,122.3,161.76,603.73,221.85,282.78,61.0,80.21,65.0,84.44,774.94,323.22,98.16,400.42,669.29,133.25,109.18,246.13,296.81,42.11,355.91,64.04,41.88,212.09,610.49,354.93,117.64,59.43,24.44,108.83,238.27,167.85,525.49,363.17,35.03,154.69,95.69,252.21,138.21,70.93,62.27,297.41,372.4,41.51,69.81,59.1,90.8,213.86,461.43,199.07,263.99,83.11,166.66,141.54,682.25,60.74,416.91,249.76,76.34,56.64,219.77,143.74,67.26,33.21,2014.77,80.46,221.33,370.36,30.06,87.42,68.57,81.0,330.36,114.44,79.27,229.87,161.06,114.79,166.24,166.02,87.83,128.84,28.01,152.0,48.42,262.32,471.49,314.66,71.41,48.12,1597.81,161.27,188.99,355.21,82.12,69.1,256.91,38.65,62.16,250.24,246.18,550.3,39.67,81.96,48.89,140.96,347.91,150.2,125.95,67.0,252.55,299.68,104.99,17.27,145.15,165.36,81.93,87.45,323.74,397.42,131.78,51.84,83.19,552.0,85.67,248.87,303.71,135.35,189.27,66.32,89.65,206.65,195.85,97.21,94.06,654.21,53.84,62.33,209.0,60.63,108.52,125.69,237.23,26.02,40.34,141.97,89.66,143.79,84.36,232.6,176.93,191.58,231.56,319.33,167.71,37.35,62.46,733.15,327.88,142.38,93.42,1542.39,173.5,546.99,86.62,69.5,133.77,332.6,169.47,234.35,129.48,92.32,104.78,204.06,97.61,37.97,91.01,41.51,208.45,45.35,179.91,78.94,65.0,128.15,188.0,119.69,37.3,90.51,48.8,42.92,231.47,96.04,103.6,267.45
172.19,314.27,3229.72,1058.12,2773.39,2771.48,318.93,173.09,465.0,274.0,328.07,160.52,167.32,68.47,211.97,387.46,125.11,363.91,136.39,56.24,48.93,60.43,518.8,260.11,174.17,621.16,144.61,61.82,82.37,156.6,53.87,135.26,625.04,50.52,373.0,525.83,264.41,55.21,55.35,65.1,100.28,303.03,229.63,182.96,179.68,250.28,150.44,89.73,84.29,105.62,230.37,132.0,19.97,247.69,105.06,211.73,435.39,213.46,437.83,153.02,135.03,81.03,89.28,264.41,221.64,227.42,570.19,173.74,104.13,363.25,379.86,91.65,399.17,50.54,66.03,182.95,149.59,232.89,873.34,572.0,209.31,67.03,2426.4,99.42,106.03,198.82,104.56,263.85,325.53,539.85,165.18,212.6,177.41,233.69,190.67,170.4,68.53,72.09,222.8,114.72,36.54,93.89,105.74,72.49,259.17,222.45,120.12,159.41,621.27,223.96,282.0,61.36,79.83,65.29,83.71,764.33,323.3,98.06,402.23,664.29,131.5,110.0,243.84,287.97,42.41,359.82,63.11,41.62,210.61,605.43,335.89,116.37,60.43,23.85,107.75,236.31,166.42,522.61,385.18,35.12,157.15,95.3,249.47,137.7,70.45,61.07,295.1,361.79,42.6,69.93,58.4,90.5,233.7,453.63,199.12,256.55,82.21,162.05,144.48,675.08,61.41,418.73,250.72,77.84,56.82,223.44,144.59,67.5,32.38,2012.66,79.31,221.83,362.28,28.59,86.68,68.77,81.03,329.63,111.86,78.41,225.84,159.24,114.46,164.06,165.88,87.54,126.58,27.95,148.61,47.39,262.39,462.34,324.71,71.63,49.1,1543.46,160.88,192.5,348.43,81.92,69.86,257.23,38.96,62.91,252.31,247.08,558.65,39.97,83.86,48.5,135.74,342.58,147.01,123.54,66.26,256.03,302.73,103.12,17.43,145.16,162.43,82.93,86.31,317.45,399.23,128.9,52.32,81.97,541.86,84.78,248.64,312.98,133.46,190.14,64.57,89.68,206.68,194.64,96.9,92.73,644.0,53.73,62.8,207.82,60.17,107.95,127.52,237.35,25.85,40.15,140.59,88.99,146.33,84.66,235.31,177.49,189.21,232.62,318.65,166.19,37.36,60.78,711.21,330.15,140.23,92.36,1565.99,170.03,548.91,85.15,69.31,131.63,330.17,165.07,231.38,131.54,92.3,103.4,202.47,97.8,37.6,90.77,40.63,208.51,45.24,180.57,81.0,65.64,126.9,186.78,120.15,37.31,89.94,48.8,42.64,239.86,94.62,102.8,260.78
175.08,314.98,3307.24,1064.4,2794.72,2800.35,319.8,171.25,469.0,278.17,334.37,158.66,167.49,71.35,214.38,386.67,127.97,366.29,136.97,56.69,49.21,60.45,522.03,262.32,174.09,622.05,144.2,62.37,81.67,157.89,53.59,135.7,620.5,51.14,375.11,529.89,262.12,55.91,56.06,65.48,100.99,305.33,234.84,184.64,185.4,246.42,150.3,90.72,84.79,107.89,232.38,137.31,19.88,249.5,106.04,211.27,441.02,216.31,453.73,152.99,132.87,83.59,88.48,260.49,219.95,227.55,578.72,175.38,105.92,364.14,380.55,93.91,403.05,49.48,67.11,191.52,152.45,235.28,888.19,578.44,216.02,67.26,2469.42,101.79,104.04,199.48,103.23,268.17,328.02,540.84,165.73,212.8,178.98,240.14,187.59,173.63,67.65,72.37,223.44,121.3,36.3,94.2,110.97,74.21,261.74,223.84,121.94,159.46,626.09,226.15,287.7,62.12,79.13,65.66,83.17,766.88,324.5,102.2,400.6,673.21,131.95,108.92,244.13,286.42,43.4,362.85,65.85,42.99,211.58,612.1,340.57,117.55,60.91,24.35,109.47,228.65,167.76,526.05,391.66,36.48,158.51,96.38,250.33,135.84,72.69,61.46,297.54,367.86,43.62,70.48,59.18,89.77,221.39,460.28,204.0,255.54,86.23,165.2,148.43,681.6,61.77,425.61,254.83,80.02,55.62,222.02,143.14,68.0,34.7,2000.98,78.43,227.54,423.8,28.68,87.97,68.53,83.85,340.38,110.84,79.56,226.62,159.03,115.39,163.16,169.23,86.33,128.77,28.87,152.5,48.41,270.63,481.17,323.56,71.29,47.71,1581.61,161.83,196.11,346.75,82.61,68.6,260.29,39.19,63.22,255.72,252.69,555.06,40.66,86.15,49.8,137.11,341.69,149.1,123.82,65.85,256.05,301.27,106.93,17.61,146.64,163.75,84.61,86.36,321.37,405.1,130.8,52.54,83.03,553.32,83.07,249.21,314.95,130.66,193.48,66.43,90.55,208.68,194.03,95.32,94.58,653.43,54.33,63.07,208.62,60.29,111.17,128.58,238.37,27.24,40.73,146.16,86.63,148.6,86.24,241.52,178.2,193.68,233.96,326.03,168.81,37.59,62.48,733.45,335.0,142.58,92.38,1571.43,168.31,559.64,90.04,71.68,132.1,325.47,159.7,232.39,133.18,92.26,105.28,205.26,99.33,38.04,90.99,41.23,210.06,45.83,182.47,84.88,64.36,128.38,191.7,118.78,37.83,89.85,49.05,43.16,240.04,95.21,101.82,263.19
175.53,318.27,3304.14,1106.22,2828.61,2832.96,320.39,169.79,473.72,279.99,333.26,159.01,168.44,71.14,215.71,389.4,127.33,367.31,137.29,56.65,48.86,60.54,525.8,255.92,173.9,622.0,143.44,62.12,81.2,157.8,53.45,133.72,625.2,50.95,377.19,532.37,260.92,55.74,56.4,64.82,101.44,306.38,237.83,186.03,186.42,247.0,152.21,91.07,85.09,108.95,231.76,137.47,19.96,250.72,105.78,211.22,447.84,218.25,451.83,153.24,133.59,84.4,88.31,259.39,222.4,224.47,577.26,174.47,103.05,361.3,376.25,94.82,390.31,49.49,67.28,187.2,159.55,234.63,885.11,573.39,217.45,67.37,2436.1,102.24,103.87,197.82,103.62,268.03,323.16,537.22,166.37,212.81,179.42,238.78,189.42,173.75,67.78,72.25,226.18,122.34,36.64,95.11,110.85,73.41,261.91,224.93,122.26,159.43,631.44,226.14,287.7,62.49,79.32,66.33,82.87,764.46,321.59,102.77,395.53,686.32,133.48,109.85,246.24,288.18,44.41,367.43,64.81,45.15,211.93,613.98,345.55,117.51,61.52,24.47,108.5,228.6,171.46,532.02,395.28,36.45,158.79,96.92,249.3,136.22,73.08,61.03,299.75,372.9,43.04,70.42,59.26,90.29,222.89,464.52,204.91,256.21,84.94,164.86,145.47,683.6,61.37,433.86,254.63,80.32,55.99,220.09,143.09,67.62,34.75,2052.88,78.19,229.02,413.37,28.79,88.07,68.33,84.37,338.59,114.72,80.03,226.49,158.95,115.65,162.97,170.18,86.31,128.28,29.2,150.0,48.86,269.6,490.38,320.79,71.87,47.14,1554.07,161.93,187.97,352.72,82.88,68.59,260.85,38.99,63.34,257.96,248.12,554.63,40.25,86.3,49.9,136.9,338.51,148.73,123.79,66.04,256.85,307.14,105.44,17.65,149.51,165.73,85.23,86.44,325.11,406.21,132.5,53.0,83.72,559.08,83.19,250.72,320.59,129.15,195.24,64.32,90.98,207.39,195.84,95.7,93.98,658.59,53.91,63.55,209.97,60.38,114.3,127.8,244.17,27.44,41.05,146.09,87.49,146.33,86.95,225.34,179.53,180.83,233.77,328.2,168.45,37.3,62.5,737.77,335.1,143.61,92.54,1559.62,169.18,539.47,91.58,72.14,131.82,324.3,159.79,231.66,133.05,92.2,106.48,208.09,99.89,38.17,90.75,40.61,211.71,45.21,181.25,82.39,64.43,125.58,190.4,119.21,38.01,90.94,49.2,43.46,239.7,95.37,102.6,261.81
172.19,304.8,3224.28,1031.56,2771.74,2782.62,321.26,168.76,467.43,265.75,326.48,158.29,168.23,70.63,215.0,386.98,126.8,369.52,133.52,55.54,48.76,60.9,516.88,249.67,174.18,597.19,145.47,61.5,81.32,155.44,53.52,129.65,600.89,51.28,361.37,516.9,261.41,54.94,56.0,64.6,102.1,292.05,228.63,184.15,183.89,247.62,149.59,91.56,84.9,108.78,230.85,132.74,20.23,250.7,105.34,210.47,436.27,219.43,446.83,153.15,134.76,83.62,87.79,255.44,227.0,225.83,552.92,173.29,102.55,365.18,380.39,93.38,390.8,50.31,67.78,181.01,157.18,231.93,867.58,521.26,223.9,67.64,2458.98,102.46,102.4,197.53,104.15,267.89,313.21,519.2,163.95,207.0,181.02,240.55,187.38,169.78,68.35,71.88,223.73,118.94,36.74,95.62,110.12,72.61,263.69,226.45,120.46,157.45,616.11,226.58,280.43,63.19,79.75,66.77,82.54,748.12,317.39,102.0,397.61,686.77,129.56,109.26,247.01,290.06,44.57,364.38,64.17,44.33,211.37,619.08,334.38,117.44,61.32,25.02,108.94,223.06,171.18,498.6,393.59,36.17,161.37,97.28,254.41,136.88,73.12,61.77,294.29,362.59,42.87,70.9,59.94,90.86,210.17,455.74,207.3,257.67,78.65,164.51,136.95,687.74,61.87,421.48,254.75,79.88,56.49,222.6,142.89,67.89,34.15,2048.4,80.42,221.86,399.51,29.34,87.2,68.9,83.36,327.51,112.72,78.43,223.28,157.62,116.42,163.05,163.16,87.71,126.63,28.93,149.9,48.9,260.17,455.78,307.88,71.7,49.48,1507.43,162.99,174.9,336.27,81.86,69.02,252.07,38.7,63.43,249.41,247.03,534.2,38.7,86.78,49.64,134.13,334.18,149.24,124.16,66.3,250.9,291.76,104.73,17.57,145.17,162.45,83.69,85.89,327.79,404.74,130.84,52.2,84.01,533.41,83.94,251.07,298.65,128.81,188.0,63.28,91.47,203.11,196.74,97.28,94.37,650.6,54.19,63.65,209.87,60.75,112.71,129.4,251.7,27.93,41.66,145.88,88.07,135.13,85.76,236.67,183.21,177.31,231.21,327.32,168.82,37.65,61.65,711.64,330.01,144.06,95.32,1503.69,168.09,524.78,90.61,69.86,130.64,317.83,158.57,235.98,131.2,92.19,105.68,200.52,101.37,38.09,93.21,41.47,206.61,45.79,185.06,75.76,64.07,128.07,186.61,119.83,38.45,91.02,49.54,43.62,227.15,95.51,103.29,254.92
173.07,310.2,3242.76,1049.61,2789.61,2795.73,324.13,167.84,468.69,269.42,331.9,159.81,157.89,71.87,214.67,372.0,128.96,372.14,135.87,54.95,47.91,61.39,502.99,244.12,175.64,596.37,145.06,61.36,81.38,151.94,53.28,128.16,594.8,51.68,353.36,520.6,257.71,55.7,58.06,64.93,103.38,293.31,231.23,187.01,188.69,246.27,148.18,92.33,83.2,108.55,235.36,136.88,20.51,243.4,106.22,206.54,432.36,217.65,452.14,152.74,134.21,86.74,87.69,250.62,228.94,221.4,550.79,168.4,98.88,372.62,379.56,95.53,380.94,50.81,66.93,178.42,167.0,228.75,848.6,531.02,225.96,68.1,2450.95,103.16,100.12,196.26,104.04,266.71,307.74,525.69,161.2,206.18,178.74,242.17,184.15,172.0,68.66,71.77,223.19,116.12,36.44,97.36,108.52,71.18,262.62,222.2,118.26,156.65,615.24,234.06,273.45,63.25,79.17,67.41,83.45,746.76,308.46,105.63,403.45,729.82,126.6,109.75,243.84,288.28,44.86,361.79,65.39,44.08,213.1,607.69,322.05,118.04,61.22,25.19,109.11,217.08,170.92,499.11,391.66,37.81,160.56,97.47,257.0,137.96,74.74,61.1,291.35,353.55,41.51,71.55,60.74,90.98,204.73,447.8,215.7,256.22,83.0,162.8,133.29,678.87,61.91,445.0,256.52,80.55,56.24,227.86,143.2,68.37,35.51,2033.48,79.79,225.29,405.14,31.18,87.2,69.9,85.2,326.16,110.82,76.56,216.03,155.88,117.4,163.21,161.75,87.51,125.0,29.29,147.98,48.6,259.1,447.34,312.54,71.5,49.12,1498.13,155.7,176.7,328.98,81.61,68.97,247.34,38.42,64.06,254.31,248.64,529.35,38.44,88.58,50.39,130.81,326.27,150.55,124.08,65.25,251.13,289.59,102.27,17.89,144.68,157.7,84.29,85.74,326.93,397.45,130.44,51.1,84.97,526.74,83.52,248.68,297.39,127.06,180.0,63.45,90.83,198.15,199.53,96.25,89.91,645.38,54.3,63.6,210.28,59.2,113.0,127.54,252.16,28.74,40.98,145.79,87.38,138.28,84.18,239.3,185.34,174.97,229.12,328.58,165.0,38.02,62.61,704.41,325.05,141.54,96.5,1512.76,163.57,524.63,91.78,69.4,129.86,316.12,152.6,237.54,129.74,92.21,103.83,192.06,102.81,37.09,93.76,40.31,203.61,45.82,184.4,75.47,63.75,127.38,187.14,119.38,39.28,90.59,50.45,43.39,223.85,96.35,104.22,249.5
