,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,ritchie bros auctioneers,agnico eagle mines ltd,0.9928631782531738,magna,0.9927526712417603,lightspeed commerce,0.9826380014419556,sun life financial,0.9811979532241821,canadian natural resources ltd,0.9800323843955994,metro,0.9790596961975098,telus,0.9776378870010376,pembina pipeline,0.977021336555481,blackberry ltd,0.9724922180175781,imperial oil ltd,0.9717661142349243,nutrien ltd,0.9711018800735474,gildan activewear,0.9709411263465881,altagas ltd,0.9694104194641113,kinross gold,0.9619680643081665,loblaw companies ltd,0.9603599309921265,quebecor,0.9590412974357605,barrick gold,0.9521065950393677,canopy growth,0.9477765560150146,canadian pacific railway ltd,0.9146032333374023,tc,0.9052223563194275,manulife financial,0.8996260762214661,cenovus,0.8859170079231262,enbridge,0.8779211044311523,suncor,0.8694741725921631,emera,0.5237915515899658
1,metro,canadian natural resources ltd,0.9988119006156921,sun life financial,0.9984281063079834,telus,0.998317301273346,gildan activewear,0.9978035688400269,pembina pipeline,0.9976353645324707,imperial oil ltd,0.9976063966751099,altagas ltd,0.9974995851516724,lightspeed commerce,0.9970852136611938,blackberry ltd,0.9960756301879883,kinross gold,0.9955635070800781,loblaw companies ltd,0.9950056076049805,quebecor,0.9941279888153076,magna,0.9938605427742004,nutrien ltd,0.9915229678153992,barrick gold,0.9903618097305298,canopy growth,0.9888472557067871,agnico eagle mines ltd,0.9813140630722046,ritchie bros auctioneers,0.9790596961975098,canadian pacific railway ltd,0.9712867140769958,tc,0.9641856551170349,manulife financial,0.9637550115585327,cenovus,0.9543368816375732,enbridge,0.9493165016174316,suncor,0.9428770542144775,thomson reuters,0.3836827874183655
2,pembina pipeline,telus,0.9984931349754333,altagas ltd,0.998274564743042,canadian natural resources ltd,0.99812912940979,sun life financial,0.998114824295044,imperial oil ltd,0.9978197813034058,gildan activewear,0.9976891279220581,metro,0.9976354241371155,lightspeed commerce,0.9976162910461426,blackberry ltd,0.996836245059967,loblaw companies ltd,0.9956822991371155,kinross gold,0.995653510093689,quebecor,0.9945423603057861,nutrien ltd,0.9944392442703247,barrick gold,0.9933592677116394,canopy growth,0.991780698299408,magna,0.9903910756111145,agnico eagle mines ltd,0.9771055579185486,ritchie bros auctioneers,0.9770213961601257,canadian pacific railway ltd,0.9767454266548157,tc,0.9703561067581177,manulife financial,0.9685162305831909,cenovus,0.9604887962341309,enbridge,0.9551601409912109,suncor,0.9501290917396545,emera,0.3718634843826294
3,emera,ritchie bros auctioneers,0.5237915515899658,agnico eagle mines ltd,0.5235720276832581,thomson reuters,0.477724552154541,magna,0.4599637985229492,lightspeed commerce,0.40169262886047363,sun life financial,0.39958447217941284,canadian natural resources ltd,0.38135355710983276,metro,0.37814581394195557,telus,0.37227755784988403,pembina pipeline,0.3718634247779846,nutrien ltd,0.3585563004016876,imperial oil ltd,0.3468131422996521,gildan activewear,0.34316277503967285,altagas ltd,0.3421611189842224,blackberry ltd,0.33297789096832275,kinross gold,0.314258873462677,loblaw companies ltd,0.31006109714508057,quebecor,0.2987929880619049,canopy growth,0.28992554545402527,barrick gold,0.27766281366348267,canadian pacific railway ltd,0.20290911197662354,tc,0.17860965430736542,manulife financial,0.15119323134422302,cenovus,0.1294013261795044,enbridge,0.11580225825309753
4,thomson reuters,agnico eagle mines ltd,0.49323737621307373,ritchie bros auctioneers,0.48197853565216064,emera,0.4777246117591858,magna,0.44985878467559814,metro,0.38368281722068787,canadian natural resources ltd,0.3781839609146118,telus,0.3720623850822449,sun life financial,0.37144720554351807,lightspeed commerce,0.3605659604072571,pembina pipeline,0.35427722334861755,imperial oil ltd,0.35326582193374634,gildan activewear,0.3532010316848755,blackberry ltd,0.3502996563911438,altagas ltd,0.34187954664230347,quebecor,0.3376840353012085,kinross gold,0.32674115896224976,loblaw companies ltd,0.3260743021965027,nutrien ltd,0.2954730987548828,barrick gold,0.2833433151245117,canopy growth,0.2653083801269531,manulife financial,0.1834861934185028,canadian pacific railway ltd,0.18200445175170898,tc,0.1572868525981903,cenovus,0.14442121982574463,enbridge,0.13120615482330322
5,canadian pacific railway ltd,tc,0.998367190361023,manulife financial,0.9972221851348877,cenovus,0.9966192841529846,enbridge,0.9950487613677979,suncor,0.9932838678359985,barrick gold,0.9932287335395813,canopy growth,0.9930040836334229,loblaw companies ltd,0.9862788915634155,kinross gold,0.9862203598022461,quebecor,0.9848748445510864,altagas ltd,0.982021152973175,nutrien ltd,0.981670618057251,blackberry ltd,0.9804790616035461,imperial oil ltd,0.9800732135772705,gildan activewear,0.9797123670578003,pembina pipeline,0.9767453074455261,telus,0.9737840890884399,canadian natural resources ltd,0.9722989201545715,metro,0.9712867140769958,lightspeed commerce,0.9709871411323547,sun life financial,0.9701253771781921,magna,0.9440705180168152,agnico eagle mines ltd,0.9151487350463867,ritchie bros auctioneers,0.9146032333374023,emera,0.20290911197662354
6,loblaw companies ltd,kinross gold,0.9995527267456055,quebecor,0.9993029832839966,imperial oil ltd,0.9979757070541382,gildan activewear,0.9977489709854126,altagas ltd,0.9974024295806885,barrick gold,0.9970409870147705,blackberry ltd,0.9963064193725586,canopy growth,0.99616938829422,telus,0.9956908226013184,pembina pipeline,0.9956822395324707,canadian natural resources ltd,0.9953139424324036,metro,0.9950056076049805,sun life financial,0.9941145777702332,lightspeed commerce,0.9931920766830444,nutrien ltd,0.9914344549179077,canadian pacific railway ltd,0.9862789511680603,manulife financial,0.9819185733795166,magna,0.9816286563873291,tc,0.9810104370117188,cenovus,0.9748213291168213,enbridge,0.9709122776985168,suncor,0.9658969640731812,agnico eagle mines ltd,0.9641134738922119,ritchie bros auctioneers,0.9603599309921265,thomson reuters,0.3260743021965027
7,cenovus,enbridge,0.998887300491333,suncor,0.9988839626312256,manulife financial,0.998311460018158,tc,0.9977033138275146,canadian pacific railway ltd,0.9966194033622742,barrick gold,0.9844214916229248,canopy growth,0.9833804965019226,loblaw companies ltd,0.9748214483261108,kinross gold,0.974225640296936,quebecor,0.9741246104240417,altagas ltd,0.9678565859794617,blackberry ltd,0.9673737287521362,nutrien ltd,0.9664722681045532,gildan activewear,0.9657963514328003,imperial oil ltd,0.9655811786651611,pembina pipeline,0.9604887962341309,telus,0.9573262929916382,canadian natural resources ltd,0.955122709274292,metro,0.9543368816375732,lightspeed commerce,0.9522011876106262,sun life financial,0.9516482353210449,magna,0.9198219776153564,agnico eagle mines ltd,0.8868974447250366,ritchie bros auctioneers,0.885917067527771,thomson reuters,0.14442123472690582
8,canopy growth,barrick gold,0.9967738389968872,loblaw companies ltd,0.99616938829422,kinross gold,0.9960012435913086,altagas ltd,0.9951702356338501,quebecor,0.995022714138031,gildan activewear,0.9938408732414246,imperial oil ltd,0.9935550093650818,canadian pacific railway ltd,0.9930041432380676,blackberry ltd,0.992577314376831,pembina pipeline,0.9917806386947632,telus,0.9910246133804321,nutrien ltd,0.9907284379005432,canadian natural resources ltd,0.989667534828186,sun life financial,0.9895704984664917,metro,0.9888472557067871,tc,0.9886059761047363,lightspeed commerce,0.9884463548660278,manulife financial,0.9880338311195374,cenovus,0.9833804368972778,enbridge,0.9800204634666443,suncor,0.9768636226654053,magna,0.971258282661438,agnico eagle mines ltd,0.9525898694992065,ritchie bros auctioneers,0.9477765560150146,emera,0.28992554545402527
9,manulife financial,cenovus,0.9983114004135132,enbridge,0.9974992275238037,tc,0.9972274899482727,canadian pacific railway ltd,0.9972221851348877,suncor,0.995913565158844,barrick gold,0.9890837669372559,canopy growth,0.9880338311195374,quebecor,0.9821578860282898,loblaw companies ltd,0.9819185733795166,kinross gold,0.9816584587097168,altagas ltd,0.9753469228744507,blackberry ltd,0.9744120836257935,gildan activewear,0.9741643667221069,imperial oil ltd,0.9737862348556519,nutrien ltd,0.9717000722885132,pembina pipeline,0.9685161113739014,telus,0.9664766788482666,canadian natural resources ltd,0.9645355343818665,metro,0.9637550115585327,sun life financial,0.9612799882888794,lightspeed commerce,0.9607508182525635,magna,0.9326051473617554,agnico eagle mines ltd,0.9019272327423096,ritchie bros auctioneers,0.8996260762214661,thomson reuters,0.1834861934185028
