date,industry_tone,becton_dickinson_diff,centene_diff,cerner_diff,uber_technologies_diff,unitedhealth_diff,microsoft_diff,lululemon_athletica_diff,nvidia_diff,blackstone_diff,paccar_diff,lam_research_diff,lockheed_martin_diff,mondelez_diff,exelon_diff,twitter_diff,walt_disney_diff,alphabet_diff,yum_brands_diff,broadcom_diff,duke_diff,netflix_diff,apple_diff,charles_schwab_diff,fiserv_diff,micron_technology_diff,regeneron_diff,dollar_tree_diff,wells_fargo_diff,mckesson_diff,equifax_diff,sherwin_williams_diff,baxter_diff,costar_diff,edwards_lifesciences_diff,goldman_sachs_diff,american_diff,expedia_diff,meta_platforms_diff,mongodb_diff,twilio_diff,general_motors_diff,tractor_supply_diff,hilton_worldwide_holdings_diff,intuitive_surgical_diff,ford_motor_diff,conocophillips_diff,eaton_diff,microchip_technology_diff,bristol_myers_squibb_diff,northrop_grumman_diff,truist_financial_diff,starbucks_diff,nike_diff,cognizant_technology_solutions_diff,t_rowe_price_diff,qualcomm_diff,tesla_diff,johnson_controls_diff,aflac_diff,valero_diff,accenture_diff,dow_diff,dollar_general_diff,constellation_brands_diff,ansys_diff,american_electric_power_diff,marvell_technology_diff,chubb_ltd_diff,devon_diff,metlife_diff,travelers_companies_diff,blackrock_diff,intercontinental_exchange_diff,marathon_petroleum_diff,berkshire_hathaway_diff,comcast_diff,ball_diff,emerson_electric_diff,costco_wholesale_diff,zoetis_diff,moderna_diff,union_pacific_diff,pepsico_diff,monster_beverage_diff,waste_management_diff,veeva_systems_diff,nucor_diff,schlumberger_diff,medtronic_diff,pfizer_diff,electronic_arts_diff,republic_services_diff,dupont_de_nemours_diff,prudential_financial_diff,palo_alto_networks_diff,analog_devices_diff,cadence_design_systems_diff,fedex_diff,block_diff,autozone_diff,mastercard_diff,servicenow_diff,baker_hughes_diff,cummins_diff,nxp_semiconductors_diff,marriott_diff,realty_income_diff,cigna_diff,american_express_diff,aptiv_diff,vertex_diff,procter_&_gamble_diff,humana_diff,eli_lilly_diff,xcel_diff,philip_morris_diff,rockwell_automation_diff,abbvie_diff,walmart_diff,kroger_diff,exxon_mobil_diff,abbott_laboratories_diff,oneok_diff,arista_networks_diff,thermo_fisher_scientific_diff,cloudflare_diff,us_bancorp_diff,dominion_diff,occidental_petroleum_diff,allstate_diff,hess_diff,ebay_diff,progressive_diff,verizon_communications_diff,digital_realty_diff,citigroup_diff,autodesk_diff,hp_diff,nextera_diff,chevron_diff,prologis_diff,kinder_morgan_diff,cisco_systems_diff,illumina_diff,old_dominion_freight_line_diff,agilent_technologies_diff,ross_stores_diff,boeing_diff,vmware_diff,kimberly_clark_diff,honeywell_diff,gilead_sciences_diff,motorola_solutions_diff,biogen_diff,dexcom_diff,intel_corporation_diff,anthem_diff,mcdonalds_diff,paypal_holdings_diff,resmed_diff,united_parcel_service_diff,global_payments_diff,alexandria_real_estate_equities_diff,morgan_stanley_diff,boston_scientific_diff,synopsys_diff,halliburton_diff,eversource_diff,msci_diff,visa_diff,adobe_diff,workday_diff,advanced_micro_devices_diff,activision_blizzard_diff,caterpillar_diff,welltower_diff,amgen_diff,simon_property_diff,archer_daniels_midland_diff,coca_cola_diff,norfolk_southern_diff,raytheon_technologies_diff,charter_communications_diff,ecolab_diff,ametek_diff,chipotle_mexican_grill_diff,paychex_diff,oracle_diff
2021-12-02,-0.0015956519548028303,,,,,,,,-0.0029564652349020988,,,,,,,-0.0011567942916876344,,,,,,,,,,,,,-6.34657264142989e-05,,,,,,,-6.34657264142989e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00554325071081146,,,,,,-0.0013246102847462784,,,,,,,,,,-0.0008137002525558732,-0.0013246102847462784,0.0063285476079762365,,,,,,,0.004219162456715368,,,,,,,,,,,,-0.0013246102847462784,,,,,,,,-0.0013246102847462784,,,,,,,,,,-0.0011974880932391796,,,,,,,,-0.0013246102847462784,,,,,,,,,,,,,,,,,,,,,,
2021-12-03,-0.002131528801107852,,,,,,-0.00010116410562742168,,-0.00010116410562742168,,,,,,,0.0010660214064865323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0007375617689087182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00010116410562742168,,,,,,,,,,,,,,,,,,,-0.0019319252561782198,,,,,,,,,,,0.0031105280049604366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-04,-0.002131528801107852,,,,,,-0.00010116410562742168,,-0.00010116410562742168,,,,,,,0.0010660214064865323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0007375617689087182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00010116410562742168,,,,,,,,,,,,,,,,,,,-0.0019319252561782198,,,,,,,,,,,0.0031105280049604366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-05,-0.002131528801107852,,,,,,-0.00010116410562742168,,-0.00010116410562742168,,,,,,,0.0010660214064865323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0007375617689087182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00010116410562742168,,,,,,,,,,,,,,,,,,,-0.0019319252561782198,,,,,,,,,,,0.0031105280049604366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-06,-0.002315270580788271,,,,,,,,,,,,,,,-0.0011907089136142983,,,,,,,,,,,,,,,,,,,,0.002315270580788271,,-9.989666954382092e-05,,,,,,,,,0.00634874844707848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051784055704451985,,,,,,,,-9.989666954382092e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011483897234758902,,,,,,,,,,,,,,,,,,,0.00634874844707848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-07,-0.001903441406841826,,,,,,,,,,,,,,,0.0002788513218971349,,,,,,0.001192870960887813,0.001192870960887813,,,,,,,,0.0010417049668802326,,,,,,,,,,,,,,,-0.0024981079385277467,,,,,,,,,,,,-0.0024981079385277467,,,,,,,,,,,,,,,-0.0029973182108989286,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001192870960887813,,,,,,,,,,,,,,,,,,,,,0.001903441406841826,,,,,,,,,,,,,,,,,,,-0.006279864648804662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010417049668802326
2021-12-08,0.0003098060130096404,,,,,,0.00042266719973235636,,,,,,-0.0007229707708011175,,,-0.0003920511705294592,,,,0.0010205384796967464,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013365296703470551,0.0010205384796967464,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013365296703470551,,,,,,,,,0.0013901803870991606,,,,,,,-0.0009531464772914414,,,,,,,,,,,,,,,,,,,,,,,,,0.0014482811881155369,,,,,,,,,,,,,,,,,,,,,,,,,0.00013365296703470551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010205384796967464,,,,,,,,,,,,,0.0010205384796967464
2021-12-09,-0.0006600580143169838,,,,,,,,,,,,,,,-0.0012500023516228158,,,,,,,,,,,,,,,,,,,,0.0008529827320841758,,,,,,,,,,,,,,,,,,,,,,,,,,8.750530154034931e-05,,,,,,,,-0.0006800321695949458,,,,,,,,,,,,,,,,,,,,,-0.0006800321695949458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019459788346609867,,,,,,,,,,,,0.014351186163276458,,,,,,,,,,,,,,,,,,,,,,,,0.0005446868884793898,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-10,-0.0011596642705497301,,,,,,0.0005922789884917327,,,,,,,,,0.0007752355556468703,,,,,,,,,,,,0.0004234029075826948,,,,,,,,,,,,,,,,,,0.0014861057709270966,,,,,,,,,,,,,,,,,,,,,,,,0.0007523704528625881,,,,,,,,,,,,,,,,,,,,,0.0007523704528625881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007809914807636905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007523704528625881
2021-12-11,0.006375789003889241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
