date,industry_tone,becton_dickinson_diff,centene_diff,cerner_diff,uber_technologies_diff,unitedhealth_diff,microsoft_diff,lululemon_athletica_diff,nvidia_diff,blackstone_diff,paccar_diff,lam_research_diff,lockheed_martin_diff,mondelez_diff,exelon_diff,twitter_diff,walt_disney_diff,alphabet_diff,yum_brands_diff,broadcom_diff,duke_diff,netflix_diff,apple_diff,charles_schwab_diff,fiserv_diff,micron_technology_diff,regeneron_diff,dollar_tree_diff,wells_fargo_diff,mckesson_diff,equifax_diff,sherwin_williams_diff,baxter_diff,costar_diff,edwards_lifesciences_diff,goldman_sachs_diff,american_diff,expedia_diff,meta_platforms_diff,mongodb_diff,twilio_diff,general_motors_diff,tractor_supply_diff,hilton_worldwide_holdings_diff,intuitive_surgical_diff,ford_motor_diff,conocophillips_diff,eaton_diff,microchip_technology_diff,bristol_myers_squibb_diff,northrop_grumman_diff,truist_financial_diff,starbucks_diff,nike_diff,cognizant_technology_solutions_diff,t_rowe_price_diff,qualcomm_diff,tesla_diff,johnson_controls_diff,aflac_diff,valero_diff,accenture_diff,dow_diff,dollar_general_diff,constellation_brands_diff,ansys_diff,american_electric_power_diff,marvell_technology_diff,chubb_ltd_diff,devon_diff,metlife_diff,travelers_companies_diff,blackrock_diff,intercontinental_exchange_diff,marathon_petroleum_diff,berkshire_hathaway_diff,comcast_diff,ball_diff,emerson_electric_diff,costco_wholesale_diff,zoetis_diff,moderna_diff,union_pacific_diff,pepsico_diff,monster_beverage_diff,waste_management_diff,veeva_systems_diff,nucor_diff,schlumberger_diff,medtronic_diff,pfizer_diff,electronic_arts_diff,republic_services_diff,dupont_de_nemours_diff,prudential_financial_diff,palo_alto_networks_diff,analog_devices_diff,cadence_design_systems_diff,fedex_diff,block_diff,autozone_diff,mastercard_diff,servicenow_diff,baker_hughes_diff,cummins_diff,nxp_semiconductors_diff,marriott_diff,realty_income_diff,cigna_diff,american_express_diff,aptiv_diff,vertex_diff,procter_&_gamble_diff,humana_diff,eli_lilly_diff,xcel_diff,philip_morris_diff,rockwell_automation_diff,abbvie_diff,walmart_diff,kroger_diff,exxon_mobil_diff,abbott_laboratories_diff,oneok_diff,arista_networks_diff,thermo_fisher_scientific_diff,cloudflare_diff,us_bancorp_diff,dominion_diff,occidental_petroleum_diff,allstate_diff,hess_diff,ebay_diff,progressive_diff,verizon_communications_diff,digital_realty_diff,citigroup_diff,autodesk_diff,hp_diff,nextera_diff,chevron_diff,prologis_diff,kinder_morgan_diff,cisco_systems_diff,illumina_diff,old_dominion_freight_line_diff,agilent_technologies_diff,ross_stores_diff,boeing_diff,vmware_diff,kimberly_clark_diff,honeywell_diff,gilead_sciences_diff,motorola_solutions_diff,biogen_diff,dexcom_diff,intel_corporation_diff,anthem_diff,mcdonalds_diff,paypal_holdings_diff,resmed_diff,united_parcel_service_diff,global_payments_diff,alexandria_real_estate_equities_diff,morgan_stanley_diff,boston_scientific_diff,synopsys_diff,halliburton_diff,eversource_diff,msci_diff,visa_diff,adobe_diff,workday_diff,advanced_micro_devices_diff,activision_blizzard_diff,caterpillar_diff,welltower_diff,amgen_diff,simon_property_diff,archer_daniels_midland_diff,coca_cola_diff,norfolk_southern_diff,raytheon_technologies_diff,charter_communications_diff,ecolab_diff,ametek_diff,chipotle_mexican_grill_diff,paychex_diff,oracle_diff
2021-12-02,-0.0015338940472314976,0.009053821855924526,,,,,-0.003918994865904179,,-0.0029634669131892166,,,,,,,0.00029177106724524206,,,,0.0038234452261504707,0.03708312973866418,0.0029800361017655137,0.0015338940472314976,,,,,,0.001754706845498199,,,,,,,-0.00012522363398563162,,,-0.0002736807842646932,,,,,,,,,,,,0.012746261254225646,,0.00688644900012902,,,,-0.0029047187234513975,,,,,,,,,,,0.0024415327344229003,,,,,,,,,0.006647185408964892,-0.012251603609233887,,,,,,,,,,,,,-0.00028969163744345166,,,,,,,,,,,,,0.0054814928032401265,,,,,,-0.001386368192317611,,,,,0.0006118951536301676,,,,,-0.00024828524600282336,0.0004063057287744423,0.006266789700404903,,,,,,,0.004157404549144036,,,,,,,,,,,,-0.001386368192317611,,,,,,,,-0.001386368192317611,,,,,,0.007959252796428326,,,,-0.0012592460008105124,,,,,,,,-0.001386368192317611,,,,,,,,,,,0.006500311604700045,,,,,,,,,,,
2021-12-03,-0.0008078734756769538,,,,,,-0.00142481943105832,,-0.0011524705156643498,,,,-0.0028097414779703874,,,-0.0004007437290977758,,,,,,0.004109820622116544,-0.0008633944596881362,,,,,,0.0017291058263020805,,0.0017291058263020805,,,,,0.0017291058263020805,,,,,,,,,,-0.0020818545045958427,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.936245279528028e-05,,-0.0020612170943396166,0.0022190823823591364,,,0.014589875283875592,,,0.0021565638972775797,,,,,,,,,0.0021966082858531476,,,,,,,,-0.0014240884541008225,,,,,,,,,0.0020362992480496586,,,,,,,,,,,,-0.005374600272322345,,-0.00142481943105832,,,,,,,,,,,,,,,,,,,-0.002960870590363034,,,,,,,,-0.0012571428068829243,,,0.0017868726795295382,,,,,,,-0.007775228113913463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-04,-0.0022256602188813583,,,,,,0.005169520797644343,,,,,,,,,-0.001677328292262617,,,,0.00011328168064730307,,0.002834935520480272,,,,,,,-0.0036608928227769037,,,,,,,0.00011328168064730307,,,,,,,,,,,,,,,,,,,,,0.00011328168064730307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002653160430024932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004693044994857203,,,,,,,,
2021-12-05,-0.0022256602188813583,,,,,,0.005169520797644343,,,,,,,,,-0.001677328292262617,,,,0.00011328168064730307,,0.002834935520480272,,,,,,,-0.0036608928227769037,,,,,,,0.00011328168064730307,,,,,,,,,,,,,,,,,,,,,0.00011328168064730307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002653160430024932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004693044994857203,,,,,,,,
2021-12-06,-0.0017428539322206869,,,,,,-0.009475834328040847,,0.0009517084326518615,,,,-0.007111043144631131,,,-0.0011955419772557451,0.00257528726799159,,,,0.001841200843574469,0.00025619866405281427,,,,,,,0.0005341359675635996,,,,,,,,,-0.0006723133181114052,,,,,,,,0.005620813874137277,0.005776331798510895,,,,,,,,,,,,,,,,,0.000778268015175076,,,,,,,,,0.005466416637016634,,,,,,,,,-0.0002453899566711498,0.004605988921877614,,,,,,,,-0.00021217716026511414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005759730749083059,,,,,,,,,,,,,,,,,,,0.005776331798510895,,,,,,,,0.0028368081939930023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-07,-0.000546313740005557,,,,,,-0.004121174404574569,,,,,,0.001243046411208322,0.010885059710935424,,-0.0013662198243809447,,,,0.004021526782976569,,0.0023462242941672783,-0.00016425670594845583,,,,,,-0.0031278797745180028,,-0.00031542269995603626,,,,,,,,,,,,,,,-0.0038552356053640157,,,,,0.0021934662251468715,,0.00562658197816853,,,,,-0.0038552356053640157,,,,0.012626310160747362,,,,,,,,,,,-0.003256176704839229,,,,-0.0011266684343693737,,,,,,,0.010885059710935424,,,,,,,-0.0004742208222867575,,,,,,,,,,-0.00016425670594845583,,,,,,,,,0.001244718844648468,,,,,,,,,,0.018810897307500234,,0.000546313740005557,,,,,,,,,,,,,,,,,,,-0.007636992315640931,,,,,,,,0.0004564021012824726,,,,,,,,,,,,,,,,-0.0015775800653041708,,,,,,,,,,,,,,,,,,,,,,,,-0.00031542269995603626
2021-12-08,-0.0013580866244740294,,,,,,-1.2210590466649445e-06,,0.0013580866244740294,,,,0.0009449218666825524,,,-0.0009265718500612433,,,,0.0021493035252861835,,0.0009224007977343661,,,,,,,,,0.00013232063104707506,,,,,,,,,,,,,,,0.010562799437434269,0.0018015456045183753,0.0026884311171804162,,,,,0.0006598601197959122,,,,,,,0.010169506224275378,,,,,,,,,,,0.0017956654570355829,,,,0.0018015456045183753,,,,,,,,,0.0030580730245828303,,,,,,0.002646231824200942,-0.0002050846125082129,,,,,,,,0.00016370024047880865,,,,,,,,,,,,,,,,-0.006397896006880645,0.003116173825599207,,,,0.0035029722533840724,,,,,,,,,,,,,,,,,0.0025528297547010295,,,,0.0018015456045183753,,,0.0019886006668098947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026884311171804162,,,,,,,,,,,,,-0.00013337140477251539
2021-12-09,0.0002785354523464293,,,,,,-0.002182789556014024,,,,,,0.0009137220275789359,,,-0.0011549499154967727,,,,,,-0.0002852160804021721,,,,,,,0.006228485250950929,,,,,,,-8.56107345792373e-05,,,,,,,,,,,,,,,,,-0.000576222062871803,,,,,,,,,-0.0008510881651230638,,,,,,,,-0.001618625636258359,,,,,,-0.0013112334239899156,,,,,,-0.0013112334239899156,-0.0013112334239899156,,,,,,,,0.0009487918857216139,,,,,,,,0.0011576852575523545,,,0.00015644384263912984,,,,,0.006352764282401586,,,,,,,,,,,,,0.0005489663069981283,0.00018816730600021387,,,,,,,,0.0010073853679975736,,,,,,0.006010772723754193,,,,,,0.013412592696613046,,,,,,,,-0.0002268364761692439,,,,,,,,,,,,,,,,-0.0006837939363696803,,,,,,0.00015644384263912984,,,,,,,,,,,,,,,,,,
2021-12-10,-0.00036114096372208816,,,,0.00021232845399395665,,-0.0029421295971339472,,,,,,,,,-0.00042689358944410585,,,,,0.015089823134264733,-0.00031168882379826427,0.00021232845399395665,,,,,-0.00037512039924494716,,,-0.006385776538344157,,,,,0.003787376867800741,,,,,,,,,,0.0002354261862164398,,-0.0012324567424593855,,,,,-0.0018668882807531973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00021232845399395665,,,,,,,,,5.249447102891557e-05,,,,,,,,,,,,,,,,,,,0.003278764608595138,,,,,,,,,,0.0016092352852850452,,,-0.0001533258428795492,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005395837773836441,,,,,,,,,,-0.008608438114464547,,,0.003764013895909639,,,,,,,,,,,,,,,,,,,,,0.00021232845399395665,,,,,,
2021-12-11,0.0020878370953555958,,,,,,,,,,,,,,,-0.00775632290528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0009490405755177595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026280611256243144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0029909249332910645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
