,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf
0,goldman sachs,citigroup,0.9930881261825562,blackrock,0.9877170324325562,fiserv,0.9798818826675415,morgan stanley,0.9345039129257202,chevron,0.7977496385574341,apple,0.7900103330612183,mastercard,0.7098251581192017,visa,0.7054538726806641,ford motor,0.6536921858787537,kroger,0.40007007122039795,dollar tree,0.3769351840019226,twitter,0.3560738265514374,microsoft,0.2602076232433319,norfolk southern,0.2541552484035492,netflix,0.24706140160560608,duke,0.24457232654094696,pfizer,0.22503945231437683,eli lilly,0.20844531059265137,abbvie,0.19945910573005676,amgen,0.19696751236915588,abbott laboratories,0.18217574059963226,prudential financial,0.1560223400592804
1,pfizer,eli lilly,0.9995049834251404,abbvie,0.9990078210830688,amgen,0.9988325238227844,abbott laboratories,0.9983474016189575,dollar tree,0.45304936170578003,kroger,0.44594842195510864,norfolk southern,0.43226832151412964,duke,0.4267842173576355,fiserv,0.2638548016548157,prudential financial,0.24351564049720764,blackrock,0.24274758994579315,goldman sachs,0.22503942251205444,microsoft,0.21748733520507812,netflix,0.21042382717132568,citigroup,0.20592808723449707,twitter,0.18198788166046143,mastercard,0.1738261580467224,chevron,0.17206266522407532,visa,0.16287508606910706,ford motor,0.1580023467540741,morgan stanley,0.15711672604084015,apple,0.14488035440444946
2,visa,mastercard,0.9994858503341675,ford motor,0.9952566623687744,apple,0.9897936582565308,chevron,0.9879624247550964,morgan stanley,0.9052115678787231,twitter,0.8458414077758789,microsoft,0.7860989570617676,citigroup,0.7776723504066467,netflix,0.7716186046600342,goldman sachs,0.7054538726806641,prudential financial,0.6964797377586365,blackrock,0.5894209146499634,fiserv,0.5555930137634277,norfolk southern,0.265863299369812,duke,0.2587527632713318,kroger,0.1962803602218628,pfizer,0.16287511587142944,dollar tree,0.1534145176410675,eli lilly,0.14984089136123657,abbvie,0.1319238245487213,amgen,0.12291018664836884,abbott laboratories,0.11386945843696594
3,abbott laboratories,amgen,0.9997059106826782,abbvie,0.9995414614677429,eli lilly,0.9991258382797241,pfizer,0.9983474016189575,dollar tree,0.4404013156890869,kroger,0.43108826875686646,norfolk southern,0.40995126962661743,duke,0.40479573607444763,fiserv,0.2273661196231842,prudential financial,0.21132886409759521,blackrock,0.2047645002603531,goldman sachs,0.18217577040195465,microsoft,0.1806098222732544,netflix,0.17425963282585144,citigroup,0.16062772274017334,twitter,0.14144659042358398,mastercard,0.12494099140167236,chevron,0.12244325131177902,visa,0.11386945843696594,ford motor,0.10971634835004807,morgan stanley,0.10809559375047684,apple,0.09500868618488312
4,blackrock,fiserv,0.998164176940918,goldman sachs,0.9877170324325562,citigroup,0.9644340872764587,morgan stanley,0.8698903322219849,chevron,0.6965765953063965,apple,0.6871699690818787,mastercard,0.5951696634292603,visa,0.5894209146499634,ford motor,0.5322831869125366,kroger,0.4215964078903198,dollar tree,0.4045949876308441,pfizer,0.24274760484695435,norfolk southern,0.23115937411785126,twitter,0.22913169860839844,eli lilly,0.2266949862241745,duke,0.22140173614025116,abbvie,0.2206709235906601,amgen,0.21964988112449646,abbott laboratories,0.2047645002603531,microsoft,0.133417010307312,netflix,0.121800996363163,prudential financial,0.03544950485229492
5,kroger,dollar tree,0.9987756609916687,norfolk southern,0.4830782115459442,duke,0.4743860363960266,pfizer,0.44594842195510864,amgen,0.43604278564453125,fiserv,0.4336758255958557,abbvie,0.43184250593185425,abbott laboratories,0.43108829855918884,eli lilly,0.42918825149536133,blackrock,0.4215964078903198,goldman sachs,0.40007007122039795,citigroup,0.3639940619468689,morgan stanley,0.2843579053878784,prudential financial,0.24047960340976715,microsoft,0.23660263419151306,chevron,0.2313910722732544,apple,0.23126254975795746,netflix,0.2241050750017166,twitter,0.20895981788635254,mastercard,0.20290879905223846,ford motor,0.1981048882007599,visa,0.1962803602218628
6,ford motor,mastercard,0.9956710934638977,visa,0.9952566623687744,apple,0.9750540852546692,chevron,0.9705246686935425,twitter,0.8910736441612244,morgan stanley,0.8706324100494385,microsoft,0.8385580778121948,netflix,0.8259497880935669,prudential financial,0.7576758861541748,citigroup,0.729860246181488,goldman sachs,0.6536921858787537,blackrock,0.5322831869125366,fiserv,0.49555060267448425,norfolk southern,0.2569027543067932,duke,0.24954016506671906,kroger,0.1981048882007599,pfizer,0.1580023467540741,dollar tree,0.15465319156646729,eli lilly,0.145158588886261,abbvie,0.12775206565856934,amgen,0.11775913089513779,abbott laboratories,0.10971634089946747
7,duke,norfolk southern,0.9997809529304504,kroger,0.4743860363960266,dollar tree,0.4673563241958618,pfizer,0.4267842173576355,eli lilly,0.42031049728393555,abbott laboratories,0.40479576587677,abbvie,0.40208402276039124,amgen,0.40191787481307983,prudential financial,0.34355124831199646,microsoft,0.32913297414779663,netflix,0.32095634937286377,twitter,0.2860308289527893,visa,0.2587527632713318,mastercard,0.24963274598121643,ford motor,0.24954016506671906,chevron,0.24635091423988342,goldman sachs,0.24457232654094696,fiserv,0.24088513851165771,citigroup,0.2337009310722351,apple,0.2309930920600891,blackrock,0.22140173614025116,morgan stanley,0.2156800627708435
8,fiserv,blackrock,0.9981642365455627,goldman sachs,0.9798818826675415,citigroup,0.9517115354537964,morgan stanley,0.8470867276191711,chevron,0.6669565439224243,apple,0.6558964848518372,mastercard,0.5611206293106079,visa,0.5555930137634277,ford motor,0.49555063247680664,kroger,0.4336758255958557,dollar tree,0.418618768453598,pfizer,0.26385483145713806,norfolk southern,0.2503335475921631,eli lilly,0.24817070364952087,abbvie,0.2425006628036499,amgen,0.24215522408485413,duke,0.24088513851165771,abbott laboratories,0.2273661196231842,twitter,0.18733365833759308,microsoft,0.09373106807470322,netflix,0.08167024701833725,prudential financial,-0.0022332966327667236
9,dollar tree,kroger,0.9987757802009583,norfolk southern,0.4758484959602356,duke,0.4673563539981842,pfizer,0.45304936170578003,amgen,0.4450075626373291,abbott laboratories,0.4404013156890869,abbvie,0.4402742087841034,eli lilly,0.43694671988487244,fiserv,0.41861873865127563,blackrock,0.4045949876308441,goldman sachs,0.3769351840019226,citigroup,0.33681267499923706,morgan stanley,0.24903962016105652,prudential financial,0.20657390356063843,microsoft,0.19909757375717163,chevron,0.19063517451286316,apple,0.1898486316204071,netflix,0.18695491552352905,twitter,0.1689656674861908,mastercard,0.1601872444152832,ford motor,0.15465319156646729,visa,0.1534145176410675
10,mastercard,visa,0.9994858503341675,ford motor,0.9956710934638977,apple,0.9899731874465942,chevron,0.9877285957336426,morgan stanley,0.9072213172912598,twitter,0.8503303527832031,microsoft,0.790015697479248,citigroup,0.7812627553939819,netflix,0.775996208190918,goldman sachs,0.7098251581192017,prudential financial,0.7013678550720215,blackrock,0.5951696634292603,fiserv,0.5611206293106079,norfolk southern,0.2571094334125519,duke,0.24963274598121643,kroger,0.20290879905223846,pfizer,0.1738261580467224,eli lilly,0.16064848005771637,dollar tree,0.1601872444152832,abbvie,0.14317750930786133,amgen,0.13402512669563293,abbott laboratories,0.12494097650051117
11,netflix,microsoft,0.9992181658744812,prudential financial,0.9927653670310974,twitter,0.9897462129592896,ford motor,0.8259497284889221,mastercard,0.7759960889816284,visa,0.7716184854507446,apple,0.6914288401603699,chevron,0.6768600940704346,morgan stanley,0.49904218316078186,norfolk southern,0.32769691944122314,citigroup,0.323969304561615,duke,0.32095634937286377,goldman sachs,0.24706138670444489,kroger,0.22410506010055542,pfizer,0.21042382717132568,eli lilly,0.20077753067016602,dollar tree,0.18695488572120667,abbvie,0.1867617666721344,abbott laboratories,0.17425963282585144,amgen,0.17388463020324707,blackrock,0.1218009740114212,fiserv,0.08167024701833725
