,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf,n14_rec,n14_conf,n15_rec,n15_conf,n16_rec,n16_conf,n17_rec,n17_conf,n18_rec,n18_conf,n19_rec,n19_conf,n20_rec,n20_conf,n21_rec,n21_conf,n22_rec,n22_conf,n23_rec,n23_conf,n24_rec,n24_conf
0,digital realty,charter communications,0.921608030796051,edwards lifesciences,0.8829750418663025,citigroup,0.8696582913398743,fiserv,0.7912523746490479,goldman sachs,0.7579210996627808,expedia,0.7394154071807861,morgan stanley,0.7061728835105896,thermo fisher scientific,0.6800975203514099,prudential financial,0.6757149696350098,anthem,0.6704162359237671,caterpillar,0.6647922992706299,twitter,0.653154194355011,agilent technologies,0.6408924460411072,yum brands,0.6378037929534912,pepsico,0.6163718700408936,comcast,0.6046642065048218,blackrock,0.589043140411377,visa,0.5682417154312134,eli lilly,0.5464849472045898,netflix,0.534359335899353,mastercard,0.5238678455352783,biogen,0.5165426731109619,norfolk southern,0.49629247188568115,american,0.4916083812713623,bristol myers squibb,0.4787755608558655
1,emerson electric,halliburton,0.989074170589447,schlumberger,0.9846076965332031,baker hughes,0.9839221239089966,starbucks,0.7235060930252075,exxon mobil,0.7140791416168213,devon,0.6768145561218262,nike,0.4641416072845459,pepsico,0.44174233078956604,mcdonalds,0.40818673372268677,paypal holdings,0.4040695130825043,yum brands,0.373108446598053,edwards lifesciences,0.33310094475746155,cadence design systems,0.3181620240211487,occidental petroleum,0.31725382804870605,synopsys,0.3063473701477051,valero,0.2980649471282959,marathon petroleum,0.294007807970047,chevron,0.2740498185157776,eli lilly,0.2720874547958374,advanced micro devices,0.2599751949310303,micron technology,0.2591935396194458,conocophillips,0.20825856924057007,hess,0.18732964992523193,norfolk southern,0.1674358993768692,fedex,0.1673291176557541
2,yum brands,pepsico,0.9614157676696777,eli lilly,0.8918071985244751,starbucks,0.8562031388282776,mcdonalds,0.7579318881034851,comcast,0.7570489645004272,nike,0.7550098896026611,twitter,0.7186907529830933,bristol myers squibb,0.6682606935501099,paypal holdings,0.6643936038017273,ford motor,0.6579259634017944,caterpillar,0.6496685743331909,netflix,0.6439251899719238,digital realty,0.6378037929534912,prudential financial,0.6092610359191895,abbvie,0.5837814807891846,visa,0.5745928287506104,citigroup,0.5418611168861389,edwards lifesciences,0.5309607982635498,charter communications,0.4817793667316437,biogen,0.47890862822532654,kroger,0.46078795194625854,american express,0.4385419487953186,mastercard,0.4295006990432739,baker hughes,0.397573322057724,halliburton,0.3926808834075928
3,hess,american,0.9674863219261169,conocophillips,0.9322298169136047,occidental petroleum,0.8629648089408875,anthem,0.843055009841919,expedia,0.8326257467269897,morgan stanley,0.8010544776916504,goldman sachs,0.7640827894210815,fiserv,0.6850357055664062,blackrock,0.6556956768035889,norfolk southern,0.6472290754318237,duke,0.6472148895263672,charter communications,0.5696067810058594,edwards lifesciences,0.5584290623664856,citigroup,0.483148455619812,devon,0.4671593904495239,micron technology,0.37287190556526184,advanced micro devices,0.37242424488067627,wells fargo,0.3665236830711365,united parcel service,0.362569659948349,digital realty,0.3579689860343933,accenture,0.35473185777664185,dollar general,0.3252286911010742,valero,0.31601619720458984,marathon petroleum,0.30745136737823486,fedex,0.3029111325740814
4,dollar general,accenture,0.987991452217102,united parcel service,0.9539896249771118,fedex,0.9421124458312988,nvidia,0.7884697914123535,devon,0.7719711065292358,exxon mobil,0.7285445332527161,boeing,0.7262986302375793,intel corporation,0.6346108913421631,prudential financial,0.5274772644042969,occidental petroleum,0.5113368630409241,conocophillips,0.5080685019493103,alphabet,0.4582766890525818,mastercard,0.3891613483428955,netflix,0.33192431926727295,hess,0.3252286911010742,visa,0.27464109659194946,honeywell,0.2635243535041809,dollar tree,0.25130438804626465,microsoft,0.24895432591438293,cerner,0.23832973837852478,biogen,0.22914402186870575,cadence design systems,0.22729365527629852,berkshire hathaway,0.21804021298885345,synopsys,0.2110951989889145,american,0.20478415489196777
5,cadence design systems,synopsys,0.9992101192474365,advanced micro devices,0.5357272624969482,micron technology,0.5339123606681824,thermo fisher scientific,0.5102110505104065,norfolk southern,0.47259700298309326,devon,0.46455591917037964,honeywell,0.43530595302581787,intel corporation,0.40560463070869446,broadcom,0.3983635902404785,lockheed martin,0.37658220529556274,agilent technologies,0.37528520822525024,dominion,0.36546534299850464,arista networks,0.36486250162124634,duke,0.35551291704177856,valero,0.33434873819351196,expedia,0.33348721265792847,edwards lifesciences,0.32402917742729187,cerner,0.323275089263916,marathon petroleum,0.3183043599128723,emerson electric,0.3181620240211487,nvidia,0.3150944113731384,halliburton,0.2905431091785431,biogen,0.2840515971183777,prudential financial,0.2801291346549988,blackrock,0.27727392315864563
6,schlumberger,halliburton,0.9907633066177368,baker hughes,0.9901413917541504,emerson electric,0.9846076965332031,exxon mobil,0.758904755115509,starbucks,0.6964622139930725,devon,0.6898579597473145,nike,0.4541352093219757,pepsico,0.3995633125305176,mcdonalds,0.3904390335083008,paypal holdings,0.3815574645996094,occidental petroleum,0.3320964276790619,yum brands,0.32154378294944763,chevron,0.31351521611213684,cadence design systems,0.26336658000946045,synopsys,0.2504235506057739,advanced micro devices,0.24452045559883118,valero,0.24444329738616943,micron technology,0.24361063539981842,marathon petroleum,0.24117371439933777,boeing,0.23041346669197083,edwards lifesciences,0.2290363609790802,kroger,0.1959470808506012,conocophillips,0.19277432560920715,accenture,0.18833178281784058,fedex,0.18147994577884674
7,accenture,dollar general,0.987991452217102,united parcel service,0.9373668432235718,fedex,0.9275029897689819,nvidia,0.8235747814178467,devon,0.7628967761993408,exxon mobil,0.7284771800041199,boeing,0.6934229731559753,intel corporation,0.6732503175735474,occidental petroleum,0.577569842338562,conocophillips,0.5442251563072205,prudential financial,0.5414052605628967,alphabet,0.5198965072631836,mastercard,0.42779189348220825,netflix,0.36184486746788025,hess,0.35473185777664185,visa,0.31941577792167664,microsoft,0.3141910433769226,cerner,0.30674946308135986,honeywell,0.3035662770271301,berkshire hathaway,0.2856765389442444,dollar tree,0.2719804346561432,meta platforms,0.2634046971797943,american,0.24882090091705322,american express,0.2222946286201477,biogen,0.20524464547634125
8,amgen,bristol myers squibb,0.9071159958839417,abbvie,0.8201976418495178,abbott laboratories,0.7359492778778076,eli lilly,0.6895156502723694,blackrock,0.6676126718521118,norfolk southern,0.6638448238372803,duke,0.649231493473053,pfizer,0.6451504826545715,moderna,0.5968127846717834,philip morris,0.5606621503829956,citigroup,0.5343104600906372,comcast,0.5133572816848755,edwards lifesciences,0.4981346130371094,fiserv,0.4513317346572876,anthem,0.4378259778022766,thermo fisher scientific,0.43491703271865845,expedia,0.4168504476547241,digital realty,0.4061082899570465,morgan stanley,0.3980264663696289,qualcomm,0.39080649614334106,wells fargo,0.387338787317276,charter communications,0.3838183581829071,valero,0.38144803047180176,agilent technologies,0.3810577094554901,goldman sachs,0.3809248208999634
9,eli lilly,yum brands,0.8918071985244751,bristol myers squibb,0.8908438682556152,abbvie,0.8606286644935608,pepsico,0.8029835224151611,comcast,0.7864452600479126,starbucks,0.7375898361206055,mcdonalds,0.6923410892486572,amgen,0.6895157098770142,nike,0.624222457408905,paypal holdings,0.617712140083313,citigroup,0.5825378894805908,edwards lifesciences,0.5658892393112183,twitter,0.55366051197052,digital realty,0.5464848875999451,pfizer,0.5332877039909363,abbott laboratories,0.5307284593582153,caterpillar,0.5290758013725281,ford motor,0.4938419461250305,biogen,0.45764392614364624,agilent technologies,0.45687365531921387,thermo fisher scientific,0.4467442035675049,netflix,0.4429680109024048,charter communications,0.4308528006076813,kroger,0.4136570692062378,moderna,0.4035802483558655
