,company,n0_rec,n0_conf,n1_rec,n1_conf,n2_rec,n2_conf,n3_rec,n3_conf,n4_rec,n4_conf,n5_rec,n5_conf,n6_rec,n6_conf,n7_rec,n7_conf,n8_rec,n8_conf,n9_rec,n9_conf,n10_rec,n10_conf,n11_rec,n11_conf,n12_rec,n12_conf,n13_rec,n13_conf
0,goldman sachs,expedia,0.9986388683319092,cadence design systems,0.3947613835334778,twitter,0.3840788006782532,mastercard,0.37905818223953247,synopsys,0.37751930952072144,eli lilly,0.36072680354118347,visa,0.35861456394195557,starbucks,0.35847705602645874,microsoft,0.3575349450111389,pepsico,0.3531867563724518,pfizer,0.3442985415458679,netflix,0.3405478894710541,devon,0.33115553855895996,exxon mobil,0.31767213344573975
1,pfizer,synopsys,0.34689828753471375,cadence design systems,0.34629523754119873,starbucks,0.34622639417648315,eli lilly,0.34584060311317444,goldman sachs,0.3442985415458679,mastercard,0.3361247181892395,pepsico,0.33474060893058777,netflix,0.3297067880630493,expedia,0.3228324353694916,twitter,0.31779542565345764,microsoft,0.3168860971927643,visa,0.312772274017334,devon,0.30535396933555603,exxon mobil,0.2871204614639282
2,visa,microsoft,0.9997825026512146,twitter,0.9991275072097778,mastercard,0.9990268349647522,goldman sachs,0.35861456394195557,devon,0.3478181064128876,exxon mobil,0.34058877825737,expedia,0.3230555057525635,pfizer,0.312772274017334,cadence design systems,0.2732000946998596,eli lilly,0.27120867371559143,synopsys,0.2652314305305481,starbucks,0.25770139694213867,pepsico,0.2565717101097107,netflix,0.23724773526191711
3,synopsys,cadence design systems,0.9992778897285461,exxon mobil,0.40048515796661377,devon,0.3933602273464203,goldman sachs,0.37751930952072144,expedia,0.363280326128006,pfizer,0.34689828753471375,eli lilly,0.2990725636482239,pepsico,0.2914172410964966,starbucks,0.2856002449989319,netflix,0.2783658504486084,mastercard,0.2725902795791626,twitter,0.27244624495506287,visa,0.2652314305305481,microsoft,0.26313072443008423
4,starbucks,eli lilly,0.9995872378349304,pepsico,0.9995527267456055,netflix,0.9994267225265503,devon,0.3593571186065674,goldman sachs,0.35847705602645874,pfizer,0.34622639417648315,exxon mobil,0.34590500593185425,expedia,0.32685256004333496,mastercard,0.2937350571155548,twitter,0.28857430815696716,cadence design systems,0.28851670026779175,synopsys,0.2856002449989319,microsoft,0.26749253273010254,visa,0.25770139694213867
5,devon,exxon mobil,0.9994319677352905,cadence design systems,0.41580072045326233,synopsys,0.3933602273464203,eli lilly,0.3744008541107178,pepsico,0.372187077999115,netflix,0.36133694648742676,starbucks,0.3593571186065674,twitter,0.3570505380630493,mastercard,0.35376933217048645,microsoft,0.35266146063804626,visa,0.3478181064128876,goldman sachs,0.33115553855895996,expedia,0.3129388988018036,pfizer,0.30535396933555603
6,mastercard,twitter,0.9995614290237427,microsoft,0.9992185235023499,visa,0.9990268349647522,goldman sachs,0.37905818223953247,devon,0.35376933217048645,exxon mobil,0.3456774055957794,expedia,0.34280771017074585,pfizer,0.3361246883869171,eli lilly,0.30687716603279114,starbucks,0.2937350571155548,pepsico,0.29219499230384827,cadence design systems,0.2806708514690399,netflix,0.27309364080429077,synopsys,0.2725902795791626
7,netflix,pepsico,0.9996159076690674,starbucks,0.9994267225265503,eli lilly,0.9991095662117004,devon,0.36133694648742676,exxon mobil,0.34830397367477417,goldman sachs,0.3405478596687317,pfizer,0.3297067880630493,expedia,0.3093114495277405,cadence design systems,0.28119590878486633,synopsys,0.2783657908439636,mastercard,0.27309367060661316,twitter,0.26806893944740295,microsoft,0.24709942936897278,visa,0.23724773526191711
8,expedia,goldman sachs,0.9986388683319092,cadence design systems,0.3807530999183655,synopsys,0.363280326128006,twitter,0.34822869300842285,mastercard,0.34280771017074585,eli lilly,0.3285917341709137,starbucks,0.32685256004333496,visa,0.3230555057525635,pfizer,0.3228324353694916,microsoft,0.32169586420059204,pepsico,0.32154154777526855,devon,0.3129388988018036,netflix,0.3093114495277405,exxon mobil,0.2998025715351105
9,twitter,mastercard,0.9995614290237427,microsoft,0.9992733001708984,visa,0.9991275072097778,goldman sachs,0.3840788006782532,devon,0.3570505380630493,exxon mobil,0.34936240315437317,expedia,0.34822869300842285,pfizer,0.31779542565345764,eli lilly,0.3018350899219513,starbucks,0.28857430815696716,pepsico,0.2873913645744324,cadence design systems,0.280711829662323,synopsys,0.27244624495506287,netflix,0.26806896924972534
